"108年01月 2344 華邦電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/01/02","14,329,436","192,138,051","13.70","13.70","13.25","13.25","-0.30","3,902",
"108/01/03","21,053,783","273,642,029","13.10","13.15","12.85","12.90","-0.35","5,661",
"108/01/04","19,628,240","248,683,582","12.70","12.90","12.35","12.90"," 0.00","5,035",
"108/01/07","17,184,476","227,328,690","13.15","13.35","13.10","13.15","+0.25","4,927",
"108/01/08","13,932,824","182,372,562","13.20","13.20","12.95","13.05","-0.10","3,645",
"108/01/09","20,274,129","271,525,664","13.20","13.50","13.15","13.40","+0.35","5,694",
"108/01/10","13,301,808","180,199,431","13.55","13.65","13.40","13.65","+0.25","3,688",
"108/01/11","9,843,003","133,091,072","13.70","13.75","13.35","13.40","-0.25","3,107",
"108/01/14","6,232,315","84,199,240","13.50","13.60","13.40","13.55","+0.15","2,293",
"108/01/15","11,157,756","151,941,799","13.40","13.75","13.40","13.70","+0.15","3,285",
"108/01/16","17,984,339","247,243,170","13.70","13.90","13.55","13.65","-0.05","4,397",
"108/01/17","7,997,149","109,283,612","13.65","13.80","13.55","13.70","+0.05","2,375",
"108/01/18","13,099,331","180,923,650","13.75","13.95","13.65","13.95","+0.25","3,739",
"108/01/21","9,015,721","126,575,516","14.10","14.20","13.95","14.05","+0.10","2,972",
"108/01/22","9,596,835","133,583,224","13.95","14.10","13.80","13.80","-0.25","2,505",
"108/01/23","8,804,560","122,102,157","13.80","13.95","13.70","13.95","+0.15","2,601",
"108/01/24","10,031,723","140,414,920","13.95","14.10","13.90","14.00","+0.05","3,073",
"108/01/25","42,566,554","621,511,909","14.35","14.95","14.25","14.70","+0.70","11,196",
"108/01/28","15,843,209","234,514,635","14.85","14.95","14.70","14.80","+0.10","4,955",
"108/01/29","12,016,888","175,124,248","14.70","14.70","14.45","14.65","-0.15","3,498",
"108/01/30","10,321,008","151,708,198","14.70","14.80","14.60","14.70","+0.05","3,107",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

