"110年06月 2351 順德             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","7,321,764","709,451,550","96.70","98.50","94.80","98.00","+0.90","4,475",
"110/06/02","5,531,520","534,834,822","97.70","98.50","94.30","96.00","-2.00","3,372",
"110/06/03","4,302,904","406,701,607","96.00","97.40","92.70","93.80","-2.20","3,068",
"110/06/04","9,712,214","937,900,359","94.00","99.50","91.50","97.20","+3.40","6,037",
"110/06/07","27,356,527","2,868,999,086","101.00","106.50","100.50","106.50","+9.30","12,076",
"110/06/08","29,178,397","2,953,226,474","111.00","112.50","96.00","96.10","-10.40","18,250",
"110/06/09","11,274,771","1,056,564,811","95.90","97.30","91.50","92.00","-4.10","7,896",
"110/06/10","4,909,567","454,476,021","92.80","93.70","91.20","92.10","+0.10","3,334",
"110/06/11","6,278,695","592,989,723","93.40","95.40","92.70","95.00","+2.90","4,639",
"110/06/15","5,733,309","552,397,149","95.60","98.40","93.50","97.50","+2.50","4,000",
"110/06/16","8,469,825","846,520,961","97.50","102.50","96.70","100.00","+2.50","6,150",
"110/06/17","16,305,775","1,719,553,265","99.80","110.00","97.50","110.00","+10.00","9,561",
"110/06/18","15,718,050","1,743,619,047","110.00","115.00","106.50","111.00","+1.00","10,706",
"110/06/21","13,096,640","1,483,690,986","110.00","118.00","108.00","110.50","-0.50","8,794",
"110/06/22","14,683,017","1,711,511,442","114.00","121.50","111.50","119.00","+8.50","9,741",
"110/06/23","16,297,944","2,034,157,303","123.50","130.00","118.00","127.00","+8.00","11,463",
"110/06/24","15,155,437","2,012,302,795","128.50","138.50","126.00","134.50","+7.50","11,250",
"110/06/25","20,261,884","2,751,926,302","136.00","144.00","128.00","132.00","-2.50","14,861",
"110/06/28","5,986,987","766,273,983","131.00","131.50","125.50","130.00","-2.00","4,588",
"110/06/29","6,686,228","861,977,623","131.00","131.50","126.50","127.00","-3.00","4,571",
"110/06/30","7,122,178","908,620,744","130.50","134.00","123.00","125.50","-1.50","5,367",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

