"111年12月 2353 宏碁             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/12/01","10,244,700","255,096,749","24.75","25.10","24.75","24.75","+0.15","3,877",
"111/12/02","6,659,343","165,801,841","24.75","25.00","24.75","24.95","+0.20","2,589",
"111/12/05","28,931,089","700,687,995","24.90","25.00","23.90","23.90","-1.05","11,958",
"111/12/06","13,217,224","311,667,686","23.85","23.90","23.40","23.45","-0.45","5,549",
"111/12/07","9,012,832","211,233,611","23.40","23.65","23.25","23.35","-0.10","3,532",
"111/12/08","8,604,930","202,660,264","23.40","23.75","23.35","23.60","+0.25","3,314",
"111/12/09","4,785,313","113,074,190","23.80","23.85","23.50","23.60"," 0.00","2,056",
"111/12/12","5,444,668","127,577,149","23.55","23.70","23.30","23.55","-0.05","2,293",
"111/12/13","16,387,726","379,612,882","23.55","23.55","22.95","23.00","-0.55","5,361",
"111/12/14","8,671,931","202,792,093","23.25","23.50","23.20","23.40","+0.40","3,090",
"111/12/15","4,726,955","110,333,805","23.35","23.50","23.25","23.30","-0.10","2,333",
"111/12/16","14,704,622","338,664,206","23.00","23.15","22.95","23.05","-0.25","5,048",
"111/12/19","12,332,347","284,122,021","22.85","23.30","22.75","23.00","-0.05","5,073",
"111/12/20","9,506,211","217,499,297","22.95","23.20","22.70","22.70","-0.30","2,993",
"111/12/21","9,654,853","221,209,514","22.85","23.15","22.75","22.85","+0.15","2,264",
"111/12/22","4,245,196","98,187,541","22.95","23.25","22.95","23.10","+0.25","1,582",
"111/12/23","5,081,995","117,038,839","22.85","23.20","22.85","23.15","+0.05","1,594",
"111/12/26","2,810,104","65,256,837","23.10","23.30","23.10","23.25","+0.10","1,463",
"111/12/27","3,344,622","77,936,732","23.25","23.40","23.15","23.30","+0.05","1,170",
"111/12/28","4,436,718","103,290,615","23.15","23.40","23.10","23.30"," 0.00","1,770",
"111/12/29","8,260,776","193,033,314","23.20","23.60","23.05","23.45","+0.15","4,269",
"111/12/30","8,368,172","197,914,371","23.50","23.85","23.35","23.55","+0.10","3,651",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

