"108年03月 2382 廣達             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/03/04","8,219,703","465,422,884","57.20","57.50","56.20","56.60","-0.60","4,139",
"108/03/05","5,247,673","296,203,979","56.20","57.00","56.00","56.60"," 0.00","3,212",
"108/03/06","6,377,982","359,067,876","56.20","56.70","56.00","56.30","-0.30","3,261",
"108/03/07","6,447,112","363,063,623","56.10","56.80","56.00","56.80","+0.50","3,301",
"108/03/08","5,201,052","292,221,370","56.50","56.60","55.70","56.00","-0.80","2,774",
"108/03/11","5,069,240","283,658,580","56.00","56.60","55.70","55.80","-0.20","3,063",
"108/03/12","2,834,878","159,825,706","56.30","56.60","56.00","56.50","+0.70","1,938",
"108/03/13","2,458,241","138,979,032","56.20","56.70","56.20","56.70","+0.20","1,416",
"108/03/14","2,963,053","167,136,782","56.30","56.60","56.20","56.30","-0.40","1,675",
"108/03/15","7,332,709","416,990,692","56.30","57.00","56.30","57.00","+0.70","2,758",
"108/03/18","4,582,487","261,593,838","57.00","57.20","56.80","57.20","+0.20","3,244",
"108/03/19","3,873,635","220,976,424","57.40","57.40","56.70","56.90","-0.30","2,140",
"108/03/20","4,902,291","277,013,558","56.90","56.90","56.30","56.60","-0.30","3,044",
"108/03/21","5,077,725","285,991,435","56.70","56.70","55.90","56.20","-0.40","3,679",
"108/03/22","3,944,247","222,065,371","56.20","56.70","56.10","56.50","+0.30","1,887",
"108/03/25","4,549,512","254,477,204","55.20","56.50","55.20","56.10","-0.40","2,936",
"108/03/26","5,235,142","297,554,641","56.50","57.00","56.30","57.00","+0.90","3,066",
"108/03/27","3,431,879","194,952,306","57.00","57.00","56.50","57.00"," 0.00","2,450",
"108/03/28","3,430,559","195,010,463","57.00","57.00","56.60","57.00"," 0.00","1,968",
"108/03/29","9,638,423","554,909,782","57.40","57.80","57.10","57.80","+0.80","4,800",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

