"111年04月 2409 友達             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/04/01","70,674,556","1,382,527,055","19.75","19.75","19.55","19.70","-0.15","20,664",
"111/04/06","77,345,779","1,540,551,465","19.55","20.10","19.55","20.10","+0.40","18,737",
"111/04/07","61,431,283","1,211,206,971","20.00","20.05","19.50","19.50","-0.60","20,851",
"111/04/08","34,987,621","688,018,916","19.60","19.80","19.55","19.70","+0.20","8,824",
"111/04/11","83,668,481","1,612,836,912","19.80","19.80","19.00","19.00","-0.70","24,762",
"111/04/12","77,527,248","1,478,454,545","19.00","19.30","18.80","19.05","+0.05","14,900",
"111/04/13","34,672,068","676,253,740","19.40","19.65","19.25","19.55","+0.50","11,183",
"111/04/14","40,479,054","791,223,930","19.60","19.75","19.40","19.45","-0.10","16,479",
"111/04/15","30,980,084","593,718,159","19.25","19.40","19.05","19.05","-0.40","10,083",
"111/04/18","64,918,669","1,203,699,555","18.80","18.85","18.35","18.40","-0.65","19,401",
"111/04/19","46,842,941","867,872,681","18.70","18.95","18.55","18.55","+0.15","9,625",
"111/04/20","68,438,363","1,274,374,875","18.60","18.90","18.30","18.85","+0.30","21,643",
"111/04/21","58,986,696","1,094,118,127","18.60","18.65","18.35","18.55","-0.30","18,314",
"111/04/22","53,215,006","982,788,527","18.30","18.65","18.20","18.45","-0.10","11,865",
"111/04/25","88,657,137","1,586,289,198","18.10","18.10","17.70","17.70","-0.75","21,872",
"111/04/26","122,265,707","2,106,206,498","17.75","17.80","17.00","17.00","-0.70","28,308",
"111/04/27","135,725,476","2,196,182,651","16.30","16.40","15.80","16.30","-0.70","28,092",
"111/04/28","121,443,312","2,045,164,912","16.50","17.20","16.20","17.10","+0.80","26,152",
"111/04/29","74,237,240","1,264,693,794","17.15","17.25","16.80","17.15","+0.05","16,626",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

