"10305る 2457 Щ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/05/02","1,350,155","27,678,201","20.20","20.70","20.20","20.40","+0.20","466",
"103/05/05","1,398,089","28,603,379","20.40","20.80","20.10","20.70","+0.30","541",
"103/05/06","911,894","18,674,932","20.70","20.70","20.30","20.40","-0.30","412",
"103/05/07","462,468","9,405,047","20.30","20.50","20.20","20.30","-0.10","232",
"103/05/08","2,309,039","48,349,367","20.30","21.30","20.30","21.30","+1.00","850",
"103/05/09","5,582,674","120,689,897","21.45","22.15","20.85","20.85","-0.45","1,950",
"103/05/12","1,955,493","40,415,903","20.85","21.30","20.20","20.40","-0.45","706",
"103/05/13","3,032,411","60,938,034","20.60","20.75","19.85","20.05","-0.35","1,035",
"103/05/14","784,947","15,757,932","20.05","20.25","19.95","20.15","+0.10","339",
"103/05/15","660,127","13,223,890","20.10","20.15","19.95","20.05","-0.10","258",
"103/05/16","777,626","15,480,870","20.00","20.05","19.65","20.05"," 0.00","300",
"103/05/19","775,304","15,435,966","20.05","20.15","19.80","19.85","-0.20","335",
"103/05/20","964,435","19,256,769","19.90","20.05","19.85","19.85"," 0.00","335",
"103/05/21","613,910","12,245,111","19.85","20.00","19.85","19.85"," 0.00","218",
"103/05/22","692,347","13,816,666","20.00","20.05","19.90","20.00","+0.15","252",
"103/05/23","1,838,004","37,452,177","20.20","20.60","20.05","20.25","+0.25","641",
"103/05/26","3,517,754","72,204,617","20.25","20.85","20.25","20.80","+0.55","1,015",
"103/05/27","3,036,391","62,947,148","21.15","21.20","20.35","20.45","-0.35","955",
"103/05/28","2,812,216","58,337,167","20.60","21.10","20.50","20.75","+0.30","895",
"103/05/29","4,178,300","87,838,682","20.95","21.25","20.80","20.85","+0.10","1,176",
"103/05/30","4,123,388","84,552,665","20.85","21.05","20.20","20.20","-0.65","954",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

