"109年08月 2457 飛宏             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/08/03","661,464","5,950,578","8.96","9.06","8.90","8.98","+0.04","273",
"109/08/04","1,275,601","11,673,147","9.05","9.35","9.00","9.11","+0.13","456",
"109/08/05","1,738,794","16,175,860","9.14","9.46","9.14","9.29","+0.18","589",
"109/08/06","1,774,632","16,440,976","9.36","9.46","9.12","9.13","-0.16","581",
"109/08/07","728,859","6,673,504","9.15","9.30","9.11","9.14","+0.01","260",
"109/08/10","1,294,625","11,807,680","9.16","9.23","9.05","9.07","-0.07","526",
"109/08/11","1,102,738","10,135,283","9.20","9.35","9.04","9.11","+0.04","428",
"109/08/12","7,695,462","73,033,275","9.11","9.74","9.08","9.47","+0.36","2,561",
"109/08/13","2,745,924","25,699,575","9.53","9.65","9.22","9.26","-0.21","818",
"109/08/14","1,186,521","11,118,397","9.35","9.51","9.27","9.32","+0.06","502",
"109/08/17","1,925,637","18,176,018","9.38","9.60","9.32","9.42","+0.10","736",
"109/08/18","3,821,052","36,650,274","9.51","9.75","9.34","9.59","+0.17","1,340",
"109/08/19","3,648,988","35,303,931","9.69","9.83","9.54","9.58","-0.01","1,328",
"109/08/20","3,324,377","30,376,241","9.70","9.70","8.80","9.03","-0.55","1,250",
"109/08/21","10,263,816","99,767,529","9.07","9.89","9.07","9.86","+0.83","3,367",
"109/08/24","6,747,424","66,902,319","9.88","10.10","9.75","9.75","-0.11","2,117",
"109/08/25","2,443,796","23,889,013","9.78","9.99","9.65","9.68","-0.07","959",
"109/08/26","1,523,062","14,693,206","9.70","9.74","9.56","9.60","-0.08","647",
"109/08/27","1,341,056","12,820,966","9.62","9.73","9.42","9.52","-0.08","542",
"109/08/28","2,419,498","23,487,958","9.64","9.96","9.52","9.61","+0.09","944",
"109/08/31","1,824,420","17,702,669","9.66","9.81","9.56","9.74","+0.13","737",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

