"10307る 2515 い             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/07/01","2,118,073","17,038,038","8.02","8.07","8.01","8.03"," 0.00","599",
"103/07/02","6,514,840","52,706,707","8.03","8.15","8.03","8.15","+0.12","1,179",
"103/07/03","2,133,302","17,227,506","8.15","8.15","8.05","8.05","-0.10","471",
"103/07/04","2,097,817","16,867,983","8.05","8.09","8.02","8.07","+0.02","447",
"103/07/07","3,180,119","25,544,063","8.10","8.10","8.01","8.03","-0.04","704",
"103/07/08","2,543,086","20,476,712","8.02","8.09","8.02","8.08","+0.05","524",
"103/07/09","1,507,015","12,131,160","8.08","8.09","8.03","8.05","-0.03","431",
"103/07/10","1,707,330","13,764,486","8.06","8.08","8.04","8.08","+0.03","401",
"103/07/11","2,841,013","22,816,454","8.08","8.08","8.01","8.03","-0.05","585",
"103/07/14","2,093,965","16,845,369","8.01","8.07","8.01","8.07","+0.04","472",
"103/07/15","2,603,667","20,992,516","8.08","8.09","8.04","8.05","-0.02","461",
"103/07/16","2,986,322","24,111,436","8.08","8.12","8.03","8.05"," 0.00","598",
"103/07/17","5,783,637","46,850,478","8.08","8.15","8.06","8.08","+0.03","909",
"103/07/18","1,747,123","14,114,593","8.06","8.09","8.06","8.09","+0.01","463",
"103/07/21","6,845,734","55,753,495","8.13","8.19","8.10","8.17","+0.08","1,035",
"103/07/22","2,951,021","24,093,940","8.20","8.20","8.15","8.16","-0.01","731",
"103/07/24","5,494,196","45,017,005","8.16","8.28","8.12","8.16"," 0.00","1,020",
"103/07/25","2,334,129","19,031,837","8.16","8.20","8.11","8.12","-0.04","515",
"103/07/28","1,759,251","14,331,895","8.12","8.18","8.12","8.14","+0.02","624",
"103/07/29","3,521,233","28,625,034","8.15","8.18","8.10","8.12","-0.02","878",
"103/07/30","1,850,870","15,097,575","8.13","8.18","8.13","8.17","+0.05","556",
"103/07/31","1,560,247","12,703,566","8.18","8.18","8.12","8.15","-0.02","418",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

