"106年03月 2515 中工             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/03/01","4,877,756","33,550,888","6.87","6.94","6.84","6.84","-0.02","1,232",
"106/03/02","7,067,650","48,269,687","6.90","6.91","6.75","6.84"," 0.00","1,246",
"106/03/03","3,358,545","22,822,160","6.84","6.84","6.75","6.80","-0.04","815",
"106/03/06","2,405,032","16,337,023","6.80","6.82","6.77","6.79","-0.01","635",
"106/03/07","2,416,926","16,447,801","6.79","6.83","6.78","6.82","+0.03","647",
"106/03/08","2,127,988","14,482,666","6.83","6.83","6.79","6.79","-0.03","552",
"106/03/09","6,332,580","42,525,369","6.79","6.81","6.68","6.69","-0.10","1,193",
"106/03/10","5,060,964","33,244,679","6.69","6.69","6.53","6.55","-0.14","1,111",
"106/03/13","3,416,107","22,481,931","6.55","6.63","6.53","6.57","+0.02","865",
"106/03/14","2,126,082","14,007,342","6.57","6.62","6.56","6.59","+0.02","621",
"106/03/15","3,069,087","20,105,329","6.58","6.59","6.52","6.56","-0.03","820",
"106/03/16","4,029,472","26,708,989","6.59","6.67","6.58","6.65","+0.09","1,015",
"106/03/17","5,166,174","34,668,566","6.66","6.75","6.64","6.74","+0.09","1,078",
"106/03/20","5,540,213","37,690,570","6.80","6.85","6.75","6.79","+0.05","1,236",
"106/03/21","2,620,248","17,718,750","6.79","6.83","6.74","6.75","-0.04","679",
"106/03/22","3,255,148","21,834,004","6.70","6.77","6.65","6.77","+0.02","853",
"106/03/23","3,780,448","25,491,469","6.76","6.79","6.71","6.71","-0.06","839",
"106/03/24","4,834,723","32,761,955","6.77","6.82","6.72","6.76","+0.05","924",
"106/03/27","2,751,857","18,565,030","6.80","6.81","6.72","6.72","-0.04","616",
"106/03/28","3,403,019","22,871,034","6.75","6.79","6.65","6.67","-0.05","834",
"106/03/29","2,557,984","16,985,351","6.68","6.71","6.61","6.62","-0.05","641",
"106/03/30","3,292,930","21,935,654","6.66","6.70","6.63","6.63","+0.01","736",
"106/03/31","1,537,143","10,215,662","6.69","6.69","6.63","6.64","+0.01","594",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

