"109年07月 2609 陽明             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/07/01","1,221,393","7,924,432","6.51","6.55","6.45","6.45","-0.05","400",
"109/07/02","2,464,650","15,857,528","6.45","6.48","6.41","6.45"," 0.00","493",
"109/07/03","2,557,525","16,680,595","6.50","6.59","6.45","6.51","+0.06","666",
"109/07/06","2,522,507","16,520,588","6.56","6.59","6.51","6.56","+0.05","710",
"109/07/07","1,952,256","12,772,507","6.59","6.62","6.50","6.53","-0.03","492",
"109/07/08","2,931,660","19,384,817","6.59","6.70","6.54","6.65","+0.12","766",
"109/07/09","2,792,286","18,518,637","6.66","6.72","6.57","6.57","-0.08","584",
"109/07/10","2,889,360","18,561,868","6.55","6.55","6.36","6.40","-0.17","773",
"109/07/13","1,515,823","9,726,776","6.50","6.50","6.40","6.40"," 0.00","496",
"109/07/14","1,438,764","9,151,728","6.37","6.39","6.34","6.34","-0.06","465",
"109/07/15","2,413,909","15,362,849","6.34","6.40","6.34","6.35","+0.01","440",
"109/07/16","1,340,068","8,569,598","6.36","6.46","6.35","6.42","+0.07","382",
"109/07/17","2,110,749","13,386,817","6.49","6.49","6.28","6.31","-0.11","544",
"109/07/20","755,114","4,743,845","6.31","6.31","6.26","6.28","-0.03","262",
"109/07/21","1,467,538","9,329,971","6.31","6.41","6.29","6.34","+0.06","507",
"109/07/22","818,569","5,223,019","6.34","6.44","6.34","6.39","+0.05","294",
"109/07/23","646,625","4,118,950","6.39","6.42","6.34","6.37","-0.02","225",
"109/07/24","1,622,038","10,199,142","6.37","6.37","6.25","6.25","-0.12","459",
"109/07/27","2,620,089","16,144,011","6.26","6.32","6.08","6.10","-0.15","685",
"109/07/28","2,116,898","12,874,275","6.10","6.13","6.06","6.06","-0.04","451",
"109/07/29","1,728,850","10,774,411","6.07","6.31","6.07","6.24","+0.18","451",
"109/07/30","1,704,642","10,619,436","6.25","6.26","6.20","6.24"," 0.00","347",
"109/07/31","1,513,068","9,549,742","6.25","6.36","6.24","6.31","+0.07","399",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

