"108年06月 2615 萬海             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/06/03","6,109,754","110,312,868","18.70","18.70","17.70","17.85","-1.00","2,775",
"108/06/04","2,039,485","36,660,825","17.85","18.10","17.85","18.00","+0.15","1,041",
"108/06/05","1,046,003","18,998,149","18.30","18.35","18.05","18.20","+0.20","605",
"108/06/06","1,921,098","34,508,152","18.25","18.25","17.80","17.95","-0.25","654",
"108/06/10","2,088,296","37,326,866","18.05","18.10","17.80","17.80","-0.15","802",
"108/06/11","777,586","13,866,757","17.85","17.95","17.75","17.95","+0.15","557",
"108/06/12","1,003,449","17,957,210","18.00","18.05","17.80","17.95"," 0.00","711",
"108/06/13","2,973,422","54,314,090","17.95","18.40","17.95","18.40","+0.45","1,635",
"108/06/14","3,289,090","60,997,298","18.60","18.80","18.35","18.40"," 0.00","1,581",
"108/06/17","941,531","17,311,117","18.50","18.50","18.30","18.45","+0.05","579",
"108/06/18","1,700,488","31,307,878","18.45","18.60","18.35","18.40","-0.05","834",
"108/06/19","2,409,724","44,374,430","18.40","18.50","18.35","18.40"," 0.00","1,486",
"108/06/20","2,824,470","51,121,883","18.45","18.50","17.90","17.95","-0.45","1,305",
"108/06/21","3,863,940","69,886,170","18.05","18.25","17.95","18.00","+0.05","1,793",
"108/06/24","1,876,829","34,043,052","18.00","18.25","17.95","18.15","+0.15","633",
"108/06/25","3,008,218","54,839,436","18.20","18.40","18.05","18.25","+0.10","1,450",
"108/06/26","1,420,501","25,978,691","18.20","18.35","18.20","18.35","+0.10","725",
"108/06/27","1,994,478","36,609,146","18.40","18.45","18.25","18.40","+0.05","1,085",
"108/06/28","1,869,626","34,000,068","18.40","18.45","18.05","18.10","-0.30","679",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

