"111年02月 2881 富邦金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/02/07","28,501,647","2,178,182,237","75.30","77.30","75.20","77.10","+1.50","15,985",
"111/02/08","18,973,099","1,459,307,367","77.10","77.40","76.20","76.80","-0.30","11,276",
"111/02/09","17,812,111","1,368,679,293","77.00","77.10","76.30","77.10","+0.30","10,472",
"111/02/10","15,114,725","1,164,380,441","77.10","77.40","76.80","77.40","+0.30","6,951",
"111/02/11","13,837,969","1,066,095,048","76.80","77.30","76.70","77.30","-0.10","7,901",
"111/02/14","15,545,657","1,184,351,466","76.50","76.50","76.00","76.10","-1.20","10,792",
"111/02/15","19,249,323","1,482,783,949","77.10","77.50","76.60","76.60","+0.50","12,138",
"111/02/16","19,501,392","1,510,782,979","77.40","77.80","76.90","77.80","+1.20","12,394",
"111/02/17","22,810,316","1,785,268,640","77.90","78.70","77.60","78.20","+0.40","10,375",
"111/02/18","10,496,797","817,109,765","77.60","78.10","77.40","77.80","-0.40","9,197",
"111/02/21","10,775,832","833,496,248","77.30","77.60","77.00","77.60","-0.20","5,765",
"111/02/22","24,963,567","1,907,947,539","77.00","77.20","76.00","76.50","-1.10","15,304",
"111/02/23","13,505,985","1,033,386,511","76.40","76.90","76.10","76.50"," 0.00","6,189",
"111/02/24","36,445,726","2,762,924,990","76.00","76.20","75.20","75.90","-0.60","18,417",
"111/02/25","48,122,294","3,610,586,516","75.50","75.80","74.50","75.10","-0.80","21,814",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

