"110年08月 2882 國泰金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/08/02","32,339,862","1,780,425,750","54.50","55.80","54.10","55.80","+1.50","8,074",
"110/08/03","16,218,040","894,780,421","55.20","55.50","54.90","55.40","-0.40","6,462",
"110/08/04","18,460,106","1,022,529,161","55.50","55.90","55.10","55.20","-0.20","5,080",
"110/08/05","14,125,192","781,196,770","55.50","55.70","55.10","55.20"," 0.00","4,665",
"110/08/06","19,744,070","1,088,112,118","55.50","55.50","54.80","55.10","-0.10","5,490",
"110/08/09","28,753,950","1,578,864,891","55.20","55.40","54.30","55.20","+0.10","6,656",
"110/08/10","19,121,159","1,054,680,374","55.30","55.60","54.90","54.90","-0.30","5,376",
"110/08/11","51,432,143","2,877,660,272","55.60","56.60","55.40","56.00","+1.10","17,422",
"110/08/12","26,297,404","1,474,176,946","56.50","56.60","55.70","56.00"," 0.00","6,834",
"110/08/13","29,234,138","1,612,274,860","55.80","55.90","54.90","55.00","-1.00","9,813",
"110/08/16","41,107,888","2,228,960,050","54.80","55.30","53.50","54.30","-0.70","13,050",
"110/08/17","25,303,072","1,380,890,222","54.30","54.90","54.20","54.70","+0.40","6,710",
"110/08/18","31,085,775","1,684,637,271","54.10","54.40","53.90","54.40","-0.30","10,535",
"110/08/19","35,254,164","1,904,216,754","54.50","54.70","53.70","53.80","-0.60","9,773",
"110/08/20","26,864,345","1,440,919,045","54.10","54.30","53.20","53.70","-0.10","9,649",
"110/08/23","38,517,106","2,118,276,253","54.40","55.40","54.30","55.10","+1.40","10,547",
"110/08/24","26,959,048","1,495,093,386","55.40","55.80","55.00","55.80","+0.70","8,506",
"110/08/25","17,343,400","967,586,126","55.80","56.00","55.40","56.00","+0.20","6,022",
"110/08/26","26,266,326","1,468,954,060","56.20","56.30","55.50","56.00"," 0.00","6,906",
"110/08/27","54,867,528","3,138,344,264","56.20","57.90","56.00","57.70","+1.70","19,252",
"110/08/30","73,199,672","4,312,327,620","58.20","59.50","58.10","59.50","+1.80","24,243",
"110/08/31","48,348,805","2,867,465,366","59.30","59.90","58.80","59.60","+0.10","14,123",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

