"108年06月 2886 兆豐金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/06/03","21,090,450","651,790,478","30.80","31.00","30.75","31.00"," 0.00","6,371",
"108/06/04","20,477,403","632,507,627","31.00","31.05","30.80","30.90","-0.10","6,732",
"108/06/05","19,997,626","618,876,950","31.00","31.10","30.85","30.90"," 0.00","6,294",
"108/06/06","29,475,309","926,811,230","30.90","31.70","30.85","31.70","+0.80","9,790",
"108/06/10","21,804,427","695,664,656","31.70","32.05","31.60","31.95","+0.25","6,726",
"108/06/11","26,405,538","833,375,834","31.95","31.95","31.30","31.30","-0.65","7,631",
"108/06/12","54,441,826","1,661,913,399","31.10","31.10","30.15","30.70","-0.60","17,547",
"108/06/13","32,258,150","986,057,289","30.60","30.90","30.20","30.60","-0.10","10,037",
"108/06/14","25,259,140","772,079,944","30.40","30.65","30.40","30.65","+0.05","7,021",
"108/06/17","22,600,854","694,861,839","30.70","30.85","30.65","30.70","+0.05","7,373",
"108/06/18","25,880,843","793,854,763","30.70","30.80","30.50","30.80","+0.10","8,191",
"108/06/19","34,828,772","1,083,551,277","30.85","31.30","30.80","31.25","+0.45","10,865",
"108/06/20","35,274,648","1,107,657,639","31.45","31.50","31.25","31.50","+0.25","10,024",
"108/06/21","53,582,065","1,657,826,120","31.30","31.35","30.80","30.80","-0.70","14,075",
"108/06/24","26,082,242","806,386,823","30.90","31.00","30.80","30.85","+0.05","6,638",
"108/06/25","23,025,434","712,973,719","30.90","31.05","30.90","30.95","+0.10","6,634",
"108/06/26","18,431,054","571,446,574","31.00","31.10","30.95","31.05","+0.10","7,243",
"108/06/27","33,862,108","1,047,627,325","30.95","31.10","30.80","30.85","-0.20","8,769",
"108/06/28","28,461,881","880,935,119","31.00","31.15","30.80","30.90","+0.05","6,228",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

