"111年09月 2888 新光金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/09/01","59,569,671","513,648,068","8.70","8.75","8.58","8.61","-0.18","14,223",
"111/09/02","35,713,209","305,086,941","8.64","8.65","8.51","8.51","-0.10","9,081",
"111/09/05","24,564,449","209,057,263","8.53","8.60","8.47","8.51"," 0.00","5,776",
"111/09/06","24,416,379","208,221,179","8.58","8.60","8.50","8.51"," 0.00","6,521",
"111/09/07","43,998,802","369,702,155","8.48","8.50","8.37","8.38","-0.13","13,391",
"111/09/08","34,024,691","288,958,657","8.41","8.59","8.38","8.57","+0.19","9,816",
"111/09/12","33,610,598","291,699,382","8.68","8.74","8.63","8.69","+0.12","9,188",
"111/09/13","24,208,288","210,638,153","8.73","8.75","8.66","8.71","+0.02","5,191",
"111/09/14","27,497,509","235,592,485","8.55","8.61","8.52","8.57","-0.14","6,430",
"111/09/15","25,625,530","220,302,225","8.55","8.65","8.53","8.60","+0.03","4,524",
"111/09/16","47,436,857","410,742,935","8.55","8.69","8.55","8.69","+0.09","8,284",
"111/09/19","29,518,064","257,619,472","8.70","8.77","8.69","8.70","+0.01","5,660",
"111/09/20","23,747,477","205,682,406","8.70","8.71","8.62","8.69","-0.01","4,792",
"111/09/21","24,773,409","214,068,673","8.69","8.71","8.59","8.63","-0.06","7,288",
"111/09/22","40,817,104","346,468,246","8.58","8.62","8.45","8.48","-0.15","8,243",
"111/09/23","19,158,645","162,701,126","8.47","8.54","8.45","8.51","+0.03","4,807",
"111/09/26","45,125,412","378,142,056","8.46","8.48","8.33","8.34","-0.17","9,636",
"111/09/27","42,465,896","352,956,830","8.34","8.38","8.28","8.29","-0.05","7,408",
"111/09/28","53,376,923","436,419,458","8.30","8.34","8.12","8.12","-0.17","12,206",
"111/09/29","46,687,626","385,713,555","8.20","8.37","8.17","8.30","+0.18","9,848",
"111/09/30","34,711,066","284,886,180","8.24","8.25","8.17","8.21","-0.09","5,664",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

