"108年11月 2890 永豐金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/11/01","8,340,252","104,664,716","12.50","12.60","12.50","12.55","+0.05","1,697",
"108/11/04","9,495,212","119,395,247","12.55","12.60","12.55","12.60","+0.05","1,812",
"108/11/05","17,108,778","215,753,453","12.60","12.65","12.55","12.65","+0.05","2,617",
"108/11/06","13,927,695","177,112,838","12.65","12.80","12.60","12.70","+0.05","2,358",
"108/11/07","11,050,124","139,982,393","12.70","12.80","12.60","12.60","-0.10","2,766",
"108/11/08","7,156,964","90,705,115","12.70","12.75","12.65","12.70","+0.10","1,292",
"108/11/11","9,922,729","125,421,815","12.65","12.70","12.60","12.70"," 0.00","1,618",
"108/11/12","7,329,714","92,961,978","12.70","12.75","12.65","12.70"," 0.00","1,613",
"108/11/13","15,143,657","192,927,938","12.65","12.80","12.65","12.75","+0.05","2,852",
"108/11/14","12,072,320","154,158,308","12.80","12.80","12.70","12.80","+0.05","2,440",
"108/11/15","15,413,695","198,699,033","12.85","12.95","12.80","12.90","+0.10","2,791",
"108/11/18","8,346,523","107,304,065","12.85","12.90","12.80","12.90"," 0.00","1,618",
"108/11/19","5,595,553","72,030,994","12.80","12.90","12.80","12.90"," 0.00","1,738",
"108/11/20","9,597,434","123,601,765","12.85","12.90","12.85","12.90"," 0.00","2,560",
"108/11/21","9,592,508","123,307,793","12.80","12.90","12.80","12.90"," 0.00","2,621",
"108/11/22","9,176,788","117,702,992","12.90","12.95","12.75","12.80","-0.10","2,158",
"108/11/25","8,312,015","106,515,036","12.80","12.85","12.75","12.80"," 0.00","2,112",
"108/11/26","40,340,540","519,619,703","12.85","13.00","12.80","12.85","+0.05","3,936",
"108/11/27","9,839,849","127,454,743","12.95","13.00","12.90","13.00","+0.15","2,132",
"108/11/28","16,139,372","209,939,539","13.00","13.10","12.90","13.05","+0.05","2,795",
"108/11/29","15,588,204","201,078,794","13.05","13.05","12.80","12.85","-0.20","1,971",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

