"110年04月 3035 智原             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/04/01","4,290,386","226,192,175","52.60","53.10","51.80","53.00","+0.90","2,508",
"110/04/06","4,644,904","248,634,712","53.80","54.00","53.30","53.40","+0.40","2,929",
"110/04/07","19,159,354","1,069,373,417","53.60","57.50","53.40","57.40","+4.00","11,587",
"110/04/08","13,122,715","743,966,551","57.40","57.40","56.00","57.20","-0.20","7,218",
"110/04/09","20,927,191","1,224,100,432","57.70","60.40","57.10","57.50","+0.30","12,630",
"110/04/12","14,538,337","847,698,278","58.10","60.00","56.80","56.90","-0.60","8,086",
"110/04/13","21,382,682","1,243,624,655","56.80","60.30","55.10","57.90","+1.00","11,176",
"110/04/14","27,825,194","1,602,923,265","57.80","60.20","54.70","56.40","-1.50","15,056",
"110/04/15","13,139,179","761,959,172","56.30","59.70","55.80","59.30","+2.90","7,312",
"110/04/16","13,979,229","825,241,044","59.00","60.00","58.10","59.50","+0.20","8,096",
"110/04/19","12,024,091","719,470,313","60.50","61.30","58.90","59.00","-0.50","7,049",
"110/04/20","11,891,374","713,011,235","59.00","61.00","57.60","61.00","+2.00","7,196",
"110/04/21","12,951,345","772,468,985","60.90","61.50","58.40","58.70","-2.30","8,027",
"110/04/22","12,084,385","697,350,278","59.70","60.10","55.50","56.50","-2.20","6,502",
"110/04/23","7,060,030","409,206,542","57.00","59.30","56.30","58.80","+2.30","4,275",
"110/04/26","23,898,067","1,468,845,116","59.40","63.80","58.40","62.60","+3.80","13,986",
"110/04/27","17,324,669","1,066,728,047","63.00","63.30","60.30","61.70","-0.90","9,307",
"110/04/28","53,909,217","3,590,696,462","64.00","67.80","62.50","67.80","+6.10","21,200",
"110/04/29","73,965,433","5,403,622,460","69.80","74.50","69.70","74.50","+6.70","32,976",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

