"102年08月 3049 和鑫             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/08/01","3,512,391","36,942,207","10.35","10.70","10.35","10.50","+0.15","1,060",
"102/08/02","3,802,985","39,814,492","10.60","10.70","10.30","10.30","-0.20","1,056",
"102/08/05","2,860,261","29,828,369","10.30","10.55","10.30","10.55","+0.25","802",
"102/08/06","2,960,351","30,623,861","10.50","10.50","10.30","10.35","-0.20","859",
"102/08/07","2,634,768","26,976,380","10.35","10.35","10.20","10.25","-0.10","760",
"102/08/08","2,430,791","24,999,255","10.25","10.35","10.25","10.30","+0.05","648",
"102/08/09","4,879,635","49,664,800","10.20","10.35","10.05","10.05","-0.25","1,162",
"102/08/12","4,735,896","47,383,810","10.10","10.20","9.92","10.00","-0.05","1,113",
"102/08/13","3,870,716","38,866,100","10.00","10.15","9.99","10.00"," 0.00","880",
"102/08/14","7,179,042","75,006,684","10.10","10.60","10.05","10.60","+0.60","2,150",
"102/08/15","9,774,450","105,423,228","10.60","10.90","10.60","10.80","+0.20","2,606",
"102/08/16","5,255,532","55,734,678","10.70","10.75","10.50","10.50","-0.30","1,392",
"102/08/19","3,382,107","35,658,769","10.65","10.65","10.45","10.50"," 0.00","770",
"102/08/20","3,311,978","34,516,671","10.50","10.65","10.30","10.30","-0.20","920",
"102/08/22","3,654,784","37,811,344","10.15","10.55","10.15","10.30"," 0.00","911",
"102/08/23","3,339,446","34,537,345","10.40","10.45","10.30","10.30"," 0.00","907",
"102/08/26","5,159,553","54,359,355","10.45","10.70","10.30","10.60","+0.30","1,458",
"102/08/27","4,393,961","45,562,894","10.60","10.60","10.25","10.25","-0.35","1,054",
"102/08/28","3,056,749","31,239,886","10.15","10.35","10.15","10.20","-0.05","821",
"102/08/29","3,010,088","31,125,497","10.35","10.45","10.25","10.30","+0.10","817",
"102/08/30","2,857,720","29,634,313","10.35","10.45","10.30","10.35","+0.05","714",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

