"10501る 3189 春河             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/01/04","1,164,867","77,065,273","67.20","67.20","65.40","65.40","-1.50","860",
"105/01/05","2,004,500","131,246,847","65.20","66.40","64.50","64.80","-0.60","1,372",
"105/01/06","3,061,816","195,917,924","65.10","65.30","62.90","63.20","-1.60","1,934",
"105/01/07","3,271,738","202,793,305","63.50","64.50","60.10","61.70","-1.50","2,109",
"105/01/08","1,870,018","115,729,224","61.50","62.50","60.70","62.00","+0.30","1,249",
"105/01/11","1,879,215","114,275,489","61.70","61.70","60.10","60.80","-1.20","1,095",
"105/01/12","2,129,689","128,382,590","61.30","61.70","58.90","60.10","-0.70","1,417",
"105/01/13","2,186,450","134,328,429","60.90","62.20","60.80","61.30","+1.20","1,649",
"105/01/14","2,722,400","168,405,600","60.30","62.80","60.00","62.80","+1.50","1,952",
"105/01/15","3,082,016","194,335,605","63.60","63.80","62.00","63.30","+0.50","1,949",
"105/01/18","2,458,843","153,503,209","61.20","63.80","61.20","63.00","-0.30","1,907",
"105/01/19","1,142,255","71,326,265","63.00","63.00","61.90","62.50","-0.50","782",
"105/01/20","1,815,810","110,988,903","62.50","62.70","60.10","60.30","-2.20","1,202",
"105/01/21","1,528,626","93,905,422","61.00","62.30","60.50","61.70","+1.40","1,105",
"105/01/22","1,411,450","87,481,057","62.40","62.60","61.40","62.20","+0.50","1,055",
"105/01/25","1,686,539","105,885,186","62.90","63.30","62.30","62.80","+0.60","1,116",
"105/01/26","913,423","57,194,209","62.90","62.90","62.30","62.50","-0.30","642",
"105/01/27","1,230,778","77,587,945","63.10","63.50","62.50","62.70","+0.20","905",
"105/01/28","9,476,758","636,404,996","62.80","68.80","62.80","68.60","+5.90","5,460",
"105/01/29","4,684,656","323,382,493","68.60","69.50","68.20","69.30","+0.70","2,763",
"105/01/30","2,634,211","184,147,496","69.90","70.80","69.00","69.20","-0.10","1,565",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

