"109年02月 3189 景碩             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/02/03","4,251,380","189,325,936","44.25","45.75","43.20","45.75","-1.25","2,671",
"109/02/04","2,464,257","115,504,354","45.70","47.30","45.70","47.20","+1.45","1,743",
"109/02/05","2,269,600","106,579,910","47.30","47.70","46.30","46.65","-0.55","1,675",
"109/02/06","9,987,981","504,314,723","49.40","51.30","49.20","51.30","+4.65","5,174",
"109/02/07","13,902,306","710,576,381","51.30","52.20","50.00","50.20","-1.10","8,044",
"109/02/10","8,678,011","430,262,339","49.95","50.90","48.75","48.75","-1.45","5,357",
"109/02/11","11,450,759","577,409,905","51.20","51.30","49.45","51.20","+2.45","6,224",
"109/02/12","15,628,656","820,437,000","51.50","54.00","51.10","52.70","+1.50","9,148",
"109/02/13","9,088,616","481,571,648","52.70","53.70","52.30","53.00","+0.30","5,332",
"109/02/14","4,946,222","263,234,366","53.00","53.80","52.80","53.00"," 0.00","3,045",
"109/02/17","9,267,470","497,751,318","53.00","54.30","52.40","54.20","+1.20","4,990",
"109/02/18","8,773,906","463,498,863","53.80","54.40","51.90","52.40","-1.80","4,798",
"109/02/19","5,636,834","301,001,564","52.90","54.00","52.40","53.70","+1.30","3,377",
"109/02/20","8,361,090","453,277,140","54.30","54.60","53.90","54.10","+0.40","4,571",
"109/02/21","10,713,271","587,707,634","54.70","55.40","54.20","54.20","+0.10","6,337",
"109/02/24","18,414,165","1,027,867,901","54.00","57.00","53.70","55.80","+1.60","10,909",
"109/02/25","10,039,422","551,514,707","55.80","56.20","54.10","54.30","-1.50","6,012",
"109/02/26","5,832,395","310,831,989","53.80","54.30","52.60","52.60","-1.70","3,402",
"109/02/27","5,798,410","301,972,853","53.00","53.50","51.40","51.60","-1.00","3,191",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

