"109年11月 3481 群創             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/11/02","91,095,256","911,947,422","9.98","10.10","9.91","10.00","+0.09","10,646",
"109/11/03","67,977,465","685,596,039","10.15","10.15","10.05","10.10","+0.10","8,606",
"109/11/04","112,602,576","1,133,982,679","10.15","10.20","9.96","10.00","-0.10","10,399",
"109/11/05","74,356,568","743,633,946","10.05","10.10","9.97","10.00"," 0.00","9,444",
"109/11/06","92,557,678","921,325,999","10.05","10.05","9.91","9.91","-0.09","10,837",
"109/11/09","95,903,917","956,192,599","10.00","10.05","9.90","10.00","+0.09","11,376",
"109/11/10","169,730,687","1,669,404,395","10.00","10.05","9.71","9.71","-0.29","24,714",
"109/11/11","187,974,704","1,788,519,982","9.73","9.77","9.42","9.45","-0.26","28,689",
"109/11/12","179,620,716","1,668,094,107","9.47","9.48","9.18","9.23","-0.22","28,194",
"109/11/13","208,878,126","1,909,027,670","9.21","9.26","9.00","9.23"," 0.00","28,026",
"109/11/16","117,507,021","1,091,047,329","9.32","9.36","9.23","9.25","+0.02","16,324",
"109/11/17","147,608,924","1,350,542,914","9.26","9.29","9.08","9.15","-0.10","21,693",
"109/11/18","142,491,468","1,316,361,688","9.15","9.34","9.10","9.34","+0.19","18,903",
"109/11/19","235,114,612","2,237,251,944","9.52","9.56","9.42","9.52","+0.18","28,916",
"109/11/20","126,678,199","1,195,441,068","9.50","9.55","9.38","9.38","-0.14","17,121",
"109/11/23","92,735,005","881,413,457","9.44","9.57","9.44","9.54","+0.16","13,157",
"109/11/24","191,442,019","1,868,453,618","9.70","9.85","9.68","9.78","+0.24","27,528",
"109/11/25","134,371,253","1,315,765,413","9.86","9.91","9.69","9.70","-0.08","18,294",
"109/11/26","161,309,298","1,590,067,302","9.79","9.94","9.74","9.85","+0.15","19,154",
"109/11/27","174,039,328","1,734,437,639","9.94","10.05","9.90","9.94","+0.09","24,120",
"109/11/30","293,011,670","2,965,355,008","10.05","10.25","10.00","10.05","+0.11","42,767",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

