"110年01月 3532 台勝科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/01/04","1,359,113","187,117,011","136.00","139.50","135.00","138.50","+3.50","1,177",
"110/01/05","1,440,860","200,178,990","138.50","140.00","137.00","140.00","+1.50","1,120",
"110/01/06","1,544,580","213,864,788","142.00","142.50","135.50","136.50","-3.50","1,345",
"110/01/07","2,211,409","311,106,129","139.00","143.00","137.50","140.50","+4.00","1,667",
"110/01/08","1,939,424","274,797,909","142.00","143.50","139.00","143.50","+3.00","1,586",
"110/01/11","1,879,632","271,761,033","142.50","146.00","142.00","145.00","+1.50","1,470",
"110/01/12","1,130,160","160,802,231","144.50","146.00","140.00","140.00","-5.00","970",
"110/01/13","2,311,166","336,572,105","142.00","148.50","142.00","146.00","+6.00","1,812",
"110/01/14","1,087,803","158,570,812","146.00","147.50","144.00","145.50","-0.50","969",
"110/01/15","1,433,072","204,525,387","147.00","147.50","140.00","141.00","-4.50","1,064",
"110/01/18","821,850","116,855,487","142.00","145.00","137.50","145.00","+4.00","735",
"110/01/19","711,647","102,770,992","145.00","146.50","143.50","144.50","-0.50","616",
"110/01/20","1,365,783","191,877,053","145.00","146.00","140.00","141.00","-3.50","859",
"110/01/21","1,647,668","239,007,396","144.50","148.50","141.50","142.50","+1.50","1,281",
"110/01/22","2,722,523","399,983,146","144.50","149.00","144.00","147.00","+4.50","2,171",
"110/01/25","1,727,538","253,928,617","146.00","150.00","143.50","149.00","+2.00","1,365",
"110/01/26","1,490,614","214,551,551","147.50","148.00","141.50","143.50","-5.50","1,121",
"110/01/27","2,337,954","326,008,691","143.50","145.00","136.50","137.50","-6.00","1,735",
"110/01/28","1,289,537","170,908,464","133.00","134.00","131.50","132.50","-5.00","1,053",
"110/01/29","1,123,406","145,958,993","134.50","134.50","127.50","128.00","-4.50","938",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

