"111年04月 3711 日月光投控       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/04/01","10,519,709","1,078,912,253","102.50","103.50","101.50","103.50"," 0.00","5,702",
"111/04/06","15,220,847","1,543,634,103","101.00","102.00","100.50","102.00","-1.50","7,160",
"111/04/07","15,990,700","1,608,302,725","101.00","102.00","99.80","99.80","-2.20","13,310",
"111/04/08","10,841,757","1,084,862,023","100.50","100.50","99.70","100.50","+0.70","5,860",
"111/04/11","14,481,389","1,428,060,230","100.50","100.50","97.50","97.90","-2.60","14,272",
"111/04/12","16,374,437","1,584,756,523","97.10","97.90","96.40","96.60","-1.30","12,626",
"111/04/13","8,138,988","800,975,996","97.70","99.10","97.40","99.10","+2.50","8,875",
"111/04/14","7,530,005","752,432,011","100.00","100.50","99.50","99.50","+0.40","5,380",
"111/04/15","5,944,583","582,073,723","98.20","98.40","97.50","97.90","-1.60","6,334",
"111/04/18","4,616,767","451,438,388","97.70","98.10","97.10","97.90"," 0.00","4,093",
"111/04/19","6,575,376","647,633,962","98.70","99.40","98.10","98.10","+0.20","4,628",
"111/04/20","9,117,448","898,444,640","98.40","99.40","97.90","99.20","+1.10","7,182",
"111/04/21","6,179,462","613,706,072","99.00","99.70","98.80","99.50","+0.30","4,918",
"111/04/22","6,188,288","610,740,549","98.60","99.40","97.90","99.10","-0.40","5,277",
"111/04/25","17,472,081","1,667,501,274","97.30","97.30","94.50","94.60","-4.50","13,970",
"111/04/26","7,463,969","710,074,021","95.30","95.50","94.80","95.00","+0.40","4,694",
"111/04/27","15,624,430","1,431,220,914","91.80","92.30","90.70","91.80","-3.20","9,885",
"111/04/28","16,503,005","1,537,228,668","92.50","94.80","91.90","93.00","+1.20","8,392",
"111/04/29","26,688,490","2,582,940,048","97.70","98.90","95.10","95.60","+2.60","14,309",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

