"110年01月 4906 正文             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/01/04","6,995,260","215,604,029","30.55","31.20","30.55","30.70","+0.25","2,851",
"110/01/05","38,385,505","1,231,929,985","31.00","33.30","30.85","32.50","+1.80","16,265",
"110/01/06","27,206,144","848,076,665","32.50","32.75","29.95","30.55","-1.95","12,058",
"110/01/07","6,574,992","200,321,866","30.65","30.85","30.20","30.25","-0.30","2,945",
"110/01/08","5,391,761","162,565,565","30.50","30.55","30.00","30.15","-0.10","2,400",
"110/01/11","3,990,837","120,464,753","30.05","30.40","30.05","30.15"," 0.00","1,653",
"110/01/12","7,192,276","213,696,080","30.15","30.25","29.40","29.50","-0.65","3,204",
"110/01/13","4,524,906","133,963,928","29.65","29.85","29.50","29.60","+0.10","1,676",
"110/01/14","4,083,298","122,210,134","29.55","30.20","29.45","30.00","+0.40","1,682",
"110/01/15","6,733,127","197,972,078","30.00","30.15","29.05","29.05","-0.95","2,788",
"110/01/18","3,544,009","102,168,464","29.35","29.35","28.30","28.95","-0.10","1,816",
"110/01/19","5,900,524","174,123,530","29.10","29.85","29.00","29.30","+0.35","2,604",
"110/01/20","6,675,126","191,083,540","29.30","29.40","28.25","28.30","-1.00","3,008",
"110/01/21","4,169,872","117,650,326","28.35","28.70","27.85","27.90","-0.40","1,901",
"110/01/22","3,253,369","91,042,534","27.90","28.20","27.80","28.05","+0.15","1,263",
"110/01/25","4,206,242","117,106,788","28.00","28.20","27.50","28.10","+0.05","1,648",
"110/01/26","3,276,631","91,469,517","28.10","28.30","27.60","27.75","-0.35","1,308",
"110/01/27","2,526,365","70,755,336","27.80","28.20","27.80","28.00","+0.25","1,097",
"110/01/28","2,196,100","61,071,830","27.60","28.10","27.40","27.75","-0.25","936",
"110/01/29","4,016,170","112,541,128","27.95","28.15","27.75","28.15","+0.40","1,650",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

