"10302る 4916 ㄆ猋           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/02/05","851,265","50,924,406","59.70","60.80","58.00","60.30","+0.60","613",
"103/02/06","671,244","40,127,892","61.30","61.30","59.30","59.30","-1.00","513",
"103/02/07","800,852","47,481,996","60.30","60.30","58.50","58.70","-0.60","576",
"103/02/10","886,332","51,049,522","58.70","58.90","57.00","57.40","-1.30","647",
"103/02/11","1,758,281","106,214,849","57.80","61.40","57.60","61.40","+4.00","1,127",
"103/02/12","3,169,425","201,144,516","63.20","64.90","61.50","63.00","+1.60","2,094",
"103/02/13","1,245,519","77,276,422","61.50","63.00","61.50","61.70","-1.30","869",
"103/02/14","1,023,634","63,384,436","63.00","63.10","61.00","61.00","-0.70","743",
"103/02/17","1,092,505","66,499,251","61.50","62.60","59.50","60.30","-0.70","782",
"103/02/18","1,116,300","66,308,607","58.80","60.30","58.60","59.70","-0.60","805",
"103/02/19","1,241,781","76,193,074","60.20","62.80","59.70","61.30","+1.60","909",
"103/02/20","891,847","53,809,220","61.10","61.30","60.00","60.00","-1.30","655",
"103/02/21","1,088,402","66,223,139","61.20","61.90","60.30","60.30","+0.30","746",
"103/02/24","817,500","48,805,899","60.30","60.70","59.10","59.80","-0.50","612",
"103/02/25","2,291,720","141,996,040","59.80","62.70","59.80","62.50","+2.70","1,529",
"103/02/26","1,839,583","115,306,129","62.50","63.80","61.40","61.60","-0.90","1,283",
"103/02/27","1,780,984","111,379,103","60.60","63.70","60.60","62.20","+0.60","1,224",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

