"107年10月 4916 事欣科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/10/01","162,200","5,353,238","33.00","33.25","32.85","33.20","+0.15","109",
"107/10/02","104,200","3,448,169","33.10","33.20","33.00","33.00","-0.20","67",
"107/10/03","446,023","14,983,566","33.20","33.95","33.20","33.40","+0.40","313",
"107/10/04","185,528","6,133,829","33.40","33.40","32.80","33.00","-0.40","124",
"107/10/05","719,400","22,697,200","32.95","32.95","30.55","31.05","-1.95","481",
"107/10/08","324,727","10,120,720","30.60","31.75","30.60","31.30","+0.25","220",
"107/10/09","204,228","6,350,868","31.40","31.50","30.85","30.95","-0.35","138",
"107/10/11","1,323,249","37,092,256","27.90","28.90","27.90","27.90","-3.05","666",
"107/10/12","394,300","11,048,139","27.90","28.70","27.25","28.30","+0.40","223",
"107/10/15","176,303","4,990,073","28.30","28.60","28.00","28.15","-0.15","120",
"107/10/16","260,600","7,289,829","27.50","28.40","27.50","28.05","-0.10","169",
"107/10/17","266,478","7,553,375","28.50","28.65","28.05","28.05"," 0.00","175",
"107/10/18","77,230","2,163,623","28.00","28.10","27.90","28.10","+0.05","66",
"107/10/19","502,600","13,724,669","27.70","28.20","26.95","27.90","-0.20","342",
"107/10/22","107,604","2,999,391","27.60","28.30","27.40","28.05","+0.15","93",
"107/10/23","252,201","6,991,106","28.05","28.05","27.25","27.90","-0.15","174",
"107/10/24","241,500","6,633,599","27.85","27.85","27.20","27.70","-0.20","166",
"107/10/25","781,276","20,515,534","26.85","26.85","25.80","26.80","-0.90","443",
"107/10/26","659,001","17,438,377","26.90","27.00","25.65","27.00","+0.20","349",
"107/10/29","215,095","5,746,319","26.70","27.20","26.50","26.50","-0.50","108",
"107/10/30","400,806","10,838,512","27.30","27.30","26.70","27.00","+0.50","251",
"107/10/31","299,100","8,280,384","27.25","27.95","27.25","27.90","+0.90","202",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

