"10306る 4919 穝             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/06/03","2,228,110","75,510,149","33.60","34.25","33.50","34.25","+0.95","1,160",
"103/06/04","2,860,565","98,946,528","34.40","35.00","34.30","34.30","+0.05","1,500",
"103/06/05","2,544,250","88,656,050","34.45","35.30","34.40","34.60","+0.30","1,413",
"103/06/06","2,581,649","88,022,030","35.00","35.20","33.00","33.05","-1.55","1,389",
"103/06/09","1,649,200","53,813,620","33.05","33.25","32.35","32.75","-0.30","864",
"103/06/10","802,147","26,216,895","32.85","33.00","32.50","32.55","-0.20","419",
"103/06/11","1,090,640","35,947,451","33.00","33.35","32.70","32.90","+0.35","606",
"103/06/12","680,104","22,294,080","32.70","33.15","32.60","32.60","-0.30","374",
"103/06/13","581,000","18,977,100","32.60","32.90","32.45","32.85","+0.25","454",
"103/06/16","506,498","16,613,634","33.00","33.05","32.60","32.90","+0.05","340",
"103/06/17","1,030,798","33,927,824","33.10","33.30","32.70","32.75","-0.15","573",
"103/06/18","1,603,000","52,723,600","32.75","33.30","32.10","32.65","-0.10","834",
"103/06/19","428,500","14,011,200","32.65","33.00","32.60","32.60","-0.05","260",
"103/06/20","561,000","18,155,650","32.60","32.70","32.20","32.20","-0.40","310",
"103/06/23","1,392,602","43,339,380","32.20","32.25","30.45","30.55","-1.65","838",
"103/06/24","492,200","15,115,700","30.70","30.85","30.60","30.70","+0.15","281",
"103/06/25","420,256","12,885,709","30.70","30.95","30.50","30.90","+0.20","290",
"103/06/26","350,044","10,912,781","31.05","31.50","30.90","31.20","+0.30","258",
"103/06/27","549,020","16,915,370","31.20","31.30","30.55","30.70","-0.50","335",
"103/06/30","428,001","13,095,880","30.70","30.90","30.55","30.55","-0.15","270",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

