"106年12月 4919 新唐             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/12/01","4,098,274","285,022,960","72.90","72.90","67.10","69.20","-2.90","2,705",
"106/12/04","1,443,200","99,312,240","69.60","70.30","67.80","69.50","+0.30","941",
"106/12/05","3,723,790","246,426,732","68.80","68.80","64.00","64.00","-5.50","2,761",
"106/12/06","2,896,134","183,605,742","64.30","65.80","61.60","63.00","-1.00","1,980",
"106/12/07","3,818,137","231,717,488","63.50","64.00","59.40","59.80","-3.20","2,651",
"106/12/08","2,979,630","184,875,120","61.80","64.00","60.10","63.20","+3.40","2,192",
"106/12/11","1,734,325","110,639,322","64.00","64.90","62.40","64.70","+1.50","1,097",
"106/12/12","1,123,711","71,578,661","64.60","64.70","62.80","62.90","-1.80","822",
"106/12/13","2,186,190","140,774,950","63.80","65.60","63.20","64.40","+1.50","1,512",
"106/12/14","2,665,830","173,885,267","65.30","66.10","64.00","64.00","-0.40","1,692",
"106/12/15","1,241,900","78,569,079","64.00","64.30","62.70","63.70","-0.30","847",
"106/12/18","1,902,201","120,219,022","64.10","64.40","62.40","62.40","-1.30","1,469",
"106/12/19","1,528,783","96,542,729","63.10","64.40","62.10","62.50","+0.10","1,102",
"106/12/20","1,734,100","108,033,579","62.50","63.00","61.60","62.90","+0.40","1,123",
"106/12/21","3,851,348","245,651,424","63.00","65.50","62.20","62.70","-0.20","2,528",
"106/12/22","4,021,600","258,918,780","64.30","65.60","63.40","63.40","+0.70","2,617",
"106/12/25","1,186,200","74,159,440","63.10","63.40","62.20","62.20","-1.20","854",
"106/12/26","2,605,750","156,081,550","62.20","62.40","58.60","59.10","-3.10","1,783",
"106/12/27","1,158,290","68,910,471","58.80","60.50","58.80","59.20","+0.10","827",
"106/12/28","1,164,820","70,240,792","59.20","60.90","59.20","60.40","+1.20","860",
"106/12/29","2,917,775","182,661,400","61.40","64.00","60.90","64.00","+3.60","1,977",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

