"111年10月 5871 中租-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/10/03","1,841,703","330,239,495","179.00","181.50","178.00","179.00","-3.50","3,200",
"111/10/04","2,745,874","509,990,830","182.50","188.00","182.50","186.50","+7.50","2,248",
"111/10/05","4,845,805","923,636,163","190.00","192.00","189.50","190.00","+3.50","2,532",
"111/10/06","1,788,685","340,492,354","191.50","192.00","189.00","190.00"," 0.00","3,227",
"111/10/07","2,723,381","508,797,587","188.50","189.50","185.50","186.50","-3.50","2,096",
"111/10/11","5,666,300","1,006,471,247","179.50","180.50","175.50","176.00","-10.50","7,033",
"111/10/12","3,410,762","599,622,606","175.00","178.50","173.50","178.00","+2.00","3,540",
"111/10/13","9,450,752","1,594,536,904","174.50","177.00","165.00","165.50","-12.50","11,180",
"111/10/14","4,149,474","711,661,270","170.50","173.50","170.00","170.50","+5.00","3,277",
"111/10/17","4,463,163","762,259,591","169.50","173.00","167.00","172.00","+1.50","2,787",
"111/10/18","3,659,846","636,924,007","173.50","175.50","172.00","175.00","+3.00","2,423",
"111/10/19","2,698,824","469,670,248","175.50","177.50","171.50","172.00","-3.00","2,996",
"111/10/20","7,365,638","1,234,994,463","168.50","170.00","166.00","168.50","-3.50","4,560",
"111/10/21","4,574,280","760,152,840","167.00","169.50","163.50","164.50","-4.00","4,371",
"111/10/24","10,184,686","1,627,527,684","167.50","168.50","156.00","157.00","-7.50","9,329",
"111/10/25","19,997,323","2,896,233,106","153.50","154.50","141.50","141.50","-15.50","19,744",
"111/10/26","14,486,869","2,055,611,787","141.50","144.00","139.00","143.00","+1.50","9,516",
"111/10/27","9,072,382","1,353,753,239","145.00","152.50","144.00","150.00","+7.00","7,132",
"111/10/28","8,045,358","1,220,992,590","150.00","155.50","148.00","149.50","-0.50","7,775",
"111/10/31","9,967,566","1,464,910,375","151.00","151.50","143.50","149.00","-0.50","7,402",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

