"109年10月 5876 上海商銀         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/10/05","3,159,531","123,775,586","39.50","39.50","38.85","38.85"," 0.00","1,561",
"109/10/06","3,192,651","125,407,522","38.90","39.45","38.90","39.30","+0.45","1,647",
"109/10/07","1,688,047","65,972,890","39.30","39.30","39.00","39.00","-0.30","776",
"109/10/08","2,415,901","94,186,458","39.00","39.00","38.90","39.00"," 0.00","633",
"109/10/12","3,257,306","126,011,634","39.00","39.00","38.45","38.95","-0.05","1,683",
"109/10/13","2,424,224","93,386,404","38.55","38.70","38.35","38.60","-0.35","983",
"109/10/14","7,722,481","298,290,165","38.50","39.30","38.30","38.55","-0.05","1,992",
"109/10/15","3,299,551","125,916,085","38.35","38.50","38.00","38.05","-0.50","1,580",
"109/10/16","2,684,760","102,564,641","38.00","38.45","37.95","38.00","-0.05","1,200",
"109/10/19","4,579,859","175,236,639","38.00","38.45","38.00","38.20","+0.20","1,757",
"109/10/20","3,238,631","123,236,040","38.30","38.30","37.85","38.15","-0.05","1,500",
"109/10/21","3,429,306","130,987,713","38.20","38.30","38.00","38.05","-0.10","1,478",
"109/10/22","8,411,737","323,612,607","38.00","38.65","38.00","38.50","+0.45","1,843",
"109/10/23","2,172,095","83,070,454","38.30","38.45","38.20","38.20","-0.30","963",
"109/10/26","2,305,274","88,259,353","38.25","38.40","38.15","38.30","+0.10","850",
"109/10/27","2,976,170","113,223,057","38.00","38.20","37.75","38.05","-0.25","867",
"109/10/28","2,388,836","90,770,174","38.00","38.20","37.90","38.10","+0.05","1,357",
"109/10/29","3,986,721","150,031,309","37.80","37.85","37.55","37.55","-0.55","2,069",
"109/10/30","8,284,795","307,337,667","37.20","37.50","36.60","37.05","-0.50","2,809",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

