"108年08月 6116 彩晶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/08/01","11,434,686","74,979,874","6.60","6.62","6.52","6.54","-0.10","2,840",
"108/08/02","19,085,724","121,336,616","6.50","6.50","6.30","6.31","-0.23","4,393",
"108/08/05","23,827,180","144,020,640","6.30","6.31","5.98","5.99","-0.32","5,648",
"108/08/06","16,819,109","97,192,113","5.65","5.92","5.64","5.87","-0.12","4,195",
"108/08/07","10,494,917","61,624,189","5.96","5.98","5.77","5.77","-0.10","3,075",
"108/08/08","57,093,022","357,230,230","5.95","6.34","5.93","6.32","+0.55","9,140",
"108/08/12","18,561,494","113,695,972","6.28","6.28","6.06","6.08","-0.24","4,024",
"108/08/13","8,995,626","54,106,241","6.00","6.06","5.97","6.01","-0.07","2,090",
"108/08/14","12,303,351","74,505,033","6.10","6.17","5.98","5.98","-0.03","2,821",
"108/08/15","12,533,320","73,576,537","5.86","5.94","5.78","5.88","-0.10","3,825",
"108/08/16","26,568,457","161,759,913","5.88","6.16","5.88","6.08","+0.20","4,693",
"108/08/19","28,056,129","174,443,685","6.12","6.29","6.11","6.22","+0.14","4,790",
"108/08/20","19,383,923","120,860,809","6.25","6.34","6.14","6.14","-0.08","3,925",
"108/08/21","13,494,537","84,126,185","6.25","6.29","6.19","6.22","+0.08","3,092",
"108/08/22","10,341,614","63,921,413","6.25","6.28","6.13","6.14","-0.08","2,142",
"108/08/23","32,270,021","203,309,424","6.14","6.39","6.12","6.34","+0.20","5,370",
"108/08/26","74,117,080","485,423,682","6.30","6.72","6.30","6.63","+0.29","13,375",
"108/08/27","32,747,411","213,311,117","6.63","6.63","6.46","6.47","-0.16","6,200",
"108/08/28","12,569,846","81,585,917","6.47","6.55","6.45","6.47"," 0.00","2,867",
"108/08/29","30,097,977","198,975,773","6.54","6.69","6.50","6.64","+0.17","5,522",
"108/08/30","38,256,948","258,093,837","6.80","6.88","6.68","6.70","+0.06","6,769",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

