"10212る 6120 笷笲             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"102/12/02","422,109","4,305,599","10.25","10.35","10.15","10.15","-0.10","132",
"102/12/03","436,026","4,423,258","10.15","10.20","10.10","10.15"," 0.00","152",
"102/12/04","1,035,792","10,630,584","10.20","10.45","10.10","10.20","+0.05","305",
"102/12/05","346,090","3,504,700","10.20","10.25","10.05","10.05","-0.15","128",
"102/12/06","282,941","2,854,810","10.05","10.15","10.05","10.10","+0.05","132",
"102/12/09","494,537","4,998,420","10.10","10.25","10.05","10.05","-0.05","234",
"102/12/10","435,757","4,380,870","10.10","10.15","10.00","10.05"," 0.00","187",
"102/12/11","3,512,429","35,720,210","10.00","10.35","9.92","10.05"," 0.00","658",
"102/12/12","299,024","2,995,660","10.00","10.10","9.97","10.05"," 0.00","142",
"102/12/13","595,672","6,067,466","10.15","10.25","10.05","10.20","+0.15","265",
"102/12/16","1,042,905","10,670,800","10.35","10.40","10.05","10.15","-0.05","325",
"102/12/17","272,983","2,759,626","10.20","10.20","10.05","10.10","-0.05","141",
"102/12/18","3,081,304","31,771,560","10.10","10.45","10.10","10.25","+0.15","754",
"102/12/19","600,433","6,149,118","10.30","10.40","10.15","10.15","-0.10","229",
"102/12/20","603,497","6,103,391","10.10","10.25","10.05","10.05","-0.10","229",
"102/12/23","585,275","5,921,550","10.05","10.20","10.05","10.10","+0.05","259",
"102/12/24","447,412","4,534,170","10.15","10.20","10.10","10.10"," 0.00","170",
"102/12/25","778,837","7,996,071","10.10","10.30","10.10","10.30","+0.20","306",
"102/12/26","2,147,403","22,572,703","10.30","10.65","10.20","10.55","+0.25","719",
"102/12/27","1,112,080","11,719,727","10.60","10.65","10.45","10.50","-0.05","368",
"102/12/30","1,114,124","11,832,352","10.60","10.70","10.55","10.60","+0.10","347",
"102/12/31","6,798,013","75,604,739","10.65","11.30","10.60","11.30","+0.70","1,910",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

