"108年02月 6120 達運             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/02/11","3,675,033","62,667,311","16.90","17.35","16.85","17.10","+0.10","1,203",
"108/02/12","5,385,046","93,848,503","17.25","17.65","17.15","17.60","+0.50","2,087",
"108/02/13","4,843,308","85,616,848","17.60","17.95","17.30","17.80","+0.20","1,884",
"108/02/14","21,502,269","407,301,753","17.90","19.55","17.90","19.55","+1.75","7,785",
"108/02/15","38,280,076","758,354,601","19.55","20.40","19.25","19.75","+0.20","13,734",
"108/02/18","17,908,558","369,857,768","20.20","21.50","20.10","20.30","+0.55","7,284",
"108/02/19","9,290,091","185,103,455","20.30","20.30","19.70","19.90","-0.40","3,530",
"108/02/20","13,270,277","269,490,078","20.10","20.95","19.90","20.15","+0.25","5,538",
"108/02/21","9,667,752","194,767,614","20.30","20.60","19.60","20.60","+0.45","3,694",
"108/02/22","18,438,804","380,106,728","20.60","20.95","20.15","20.25","-0.35","5,407",
"108/02/25","7,144,843","144,087,116","20.40","20.45","19.80","20.20","-0.05","2,658",
"108/02/26","4,583,637","91,907,122","20.35","20.45","19.90","19.90","-0.30","1,805",
"108/02/27","25,692,466","531,837,513","20.65","21.20","20.30","20.60","+0.70","8,362",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

