"103年03月 6282 康舒             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"103/03/03","9,872,254","345,003,590","35.70","35.70","34.65","34.75","-1.15","4,702",
"103/03/04","8,939,887","313,985,903","34.75","35.60","34.70","34.85","+0.10","3,600",
"103/03/05","22,484,861","820,312,857","35.90","37.25","35.50","37.25","+2.40","8,542",
"103/03/06","15,353,258","566,027,324","37.30","37.35","36.50","36.75","-0.50","6,803",
"103/03/07","15,750,169","572,734,163","36.75","37.50","35.00","35.30","-1.45","6,141",
"103/03/10","8,126,085","289,586,771","35.30","36.15","35.10","35.70","+0.40","2,879",
"103/03/11","13,316,085","486,331,964","36.90","37.10","35.80","36.10","+0.40","5,032",
"103/03/12","7,720,754","273,599,614","35.70","35.85","35.00","35.60","-0.50","3,266",
"103/03/13","6,611,515","234,528,930","35.95","36.05","35.15","35.70","+0.10","2,948",
"103/03/14","29,405,304","1,103,876,517","36.20","38.15","36.20","38.15","+2.45","9,989",
"103/03/17","42,732,296","1,650,192,602","38.65","39.60","37.55","37.65","-0.50","15,061",
"103/03/18","16,660,565","635,172,055","38.40","38.55","37.85","37.90","+0.25","7,051",
"103/03/19","15,171,165","574,665,836","38.00","38.80","36.95","37.15","-0.75","6,109",
"103/03/20","19,135,503","729,903,310","37.40","39.20","37.05","38.65","+1.50","7,971",
"103/03/21","12,898,864","495,685,384","39.30","39.30","37.65","38.25","-0.40","6,114",
"103/03/24","11,679,595","446,268,065","38.45","38.90","37.05","38.80","+0.55","5,540",
"103/03/25","26,752,060","1,082,661,275","39.00","41.30","39.00","40.80","+2.00","11,120",
"103/03/26","24,251,933","1,006,525,965","41.10","42.25","40.50","41.40","+0.60","10,653",
"103/03/27","15,924,216","658,027,156","41.60","42.25","40.50","41.00","-0.40","6,496",
"103/03/28","11,068,600","449,519,547","41.00","41.40","39.80","40.50","-0.50","4,916",
"103/03/31","12,144,829","505,545,488","41.00","42.15","40.80","42.00","+1.50","5,155",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

