"109年10月 6415 矽力*-KY         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/10/05","455,532","831,347,500","1,750.00","1,875.00","1,745.00","1,875.00","+170.00","478",
"109/10/06","740,103","1,503,567,180","2,060.00","2,060.00","1,960.00","2,060.00","+185.00","713",
"109/10/07","644,017","1,305,973,505","2,015.00","2,105.00","1,975.00","2,015.00","-45.00","634",
"109/10/08","388,456","798,722,000","2,005.00","2,110.00","2,005.00","2,040.00","+25.00","409",
"109/10/12","352,745","708,801,475","2,040.00","2,085.00","1,975.00","1,990.00","-50.00","347",
"109/10/13","310,844","620,557,220","2,020.00","2,025.00","1,950.00","1,990.00"," 0.00","312",
"109/10/14","765,445","1,461,679,925","1,960.00","1,995.00","1,870.00","1,880.00","-110.00","562",
"109/10/15","581,303","1,073,109,035","1,900.00","1,905.00","1,860.00","1,860.00","-20.00","247",
"109/10/16","264,185","491,345,950","1,875.00","1,900.00","1,830.00","1,850.00","-10.00","272",
"109/10/19","208,990","383,256,900","1,865.00","1,865.00","1,820.00","1,825.00","-25.00","229",
"109/10/20","347,071","640,046,349","1,825.00","1,880.00","1,820.00","1,835.00","+10.00","263",
"109/10/21","568,546","1,074,134,210","1,860.00","1,905.00","1,860.00","1,895.00","+60.00","536",
"109/10/22","288,862","546,913,490","1,900.00","1,935.00","1,870.00","1,890.00","-5.00","298",
"109/10/23","350,199","646,031,185","1,900.00","1,920.00","1,810.00","1,830.00","-60.00","375",
"109/10/26","176,447","327,978,725","1,840.00","1,880.00","1,840.00","1,860.00","+30.00","223",
"109/10/27","196,587","362,535,210","1,830.00","1,870.00","1,825.00","1,855.00","-5.00","265",
"109/10/28","203,272","378,262,256","1,895.00","1,895.00","1,850.00","1,860.00","+5.00","174",
"109/10/29","430,901","777,911,770","1,830.00","1,845.00","1,760.00","1,800.00","-60.00","307",
"109/10/30","555,441","983,555,085","1,815.00","1,830.00","1,755.00","1,760.00","-40.00","299",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

