"107年08月 6505 台塑化           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/08/01","1,526,356","183,785,889","120.50","121.00","120.00","120.50"," 0.00","978",
"107/08/02","2,074,532","246,646,808","120.00","120.00","118.00","118.50","-2.00","979",
"107/08/03","2,415,755","290,264,355","119.00","121.00","119.00","121.00","+2.50","1,083",
"107/08/06","781,068","94,415,257","120.00","121.50","120.00","121.50","+0.50","517",
"107/08/07","1,516,341","181,215,745","121.00","121.00","119.00","119.00","-2.50","967",
"107/08/08","2,267,519","274,103,159","119.50","121.50","119.50","121.00","+2.00","1,193",
"107/08/09","641,595","77,208,400","120.00","121.00","120.00","120.00","-1.00","275",
"107/08/10","729,401","87,589,021","119.50","120.50","119.50","120.50","+0.50","556",
"107/08/13","931,621","111,437,520","120.50","120.50","119.00","119.50","-1.00","495",
"107/08/14","996,454","119,751,934","120.00","120.50","119.00","120.50","+1.00","687",
"107/08/15","1,165,506","140,312,969","119.50","121.00","119.50","120.50"," 0.00","732",
"107/08/16","1,033,675","124,240,331","119.50","121.00","119.50","120.50"," 0.00","561",
"107/08/17","945,618","114,118,965","120.00","121.00","119.50","121.00","+0.50","495",
"107/08/20","3,386,043","415,600,789","121.50","123.50","121.00","123.50","+2.50","1,940",
"107/08/21","2,372,979","294,616,896","124.00","125.00","123.50","125.00","+1.50","1,682",
"107/08/22","1,592,016","198,262,500","125.00","125.00","124.00","125.00"," 0.00","1,081",
"107/08/23","2,466,078","307,453,750","125.00","125.00","124.00","125.00"," 0.00","1,440",
"107/08/24","2,205,333","278,165,618","125.00","127.50","124.50","127.00","+2.00","1,466",
"107/08/27","1,940,757","248,274,010","127.00","129.50","126.50","128.00","+1.00","1,225",
"107/08/28","1,073,634","137,237,828","128.00","128.50","127.50","128.00"," 0.00","689",
"107/08/29","1,418,472","180,962,444","128.00","128.00","127.00","128.00"," 0.00","1,042",
"107/08/30","2,656,221","333,768,125","128.00","128.00","124.50","125.00","-3.00","1,707",
"107/08/31","2,932,550","369,356,850","125.50","127.00","124.50","126.00","+1.00","1,757",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

