"99年02月 9910 豐泰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 99/02/01","195,133","5,338,446","27.65","27.70","27.05","27.50","-0.20","117",
" 99/02/02","313,362","8,543,524","27.45","27.70","27.10","27.20","-0.30","173",
" 99/02/03","280,069","7,561,313","27.50","27.50","26.85","26.95","-0.25","166",
" 99/02/04","386,478","10,426,230","27.00","27.10","26.90","26.95"," 0.00","175",
" 99/02/05","574,916","15,084,642","26.65","26.65","26.00","26.00","-0.95","293",
" 99/02/06","457,691","11,929,932","26.15","26.60","25.90","26.00"," 0.00","252",
" 99/02/08","272,888","7,129,376","26.10","26.35","26.00","26.20","+0.20","129",
" 99/02/09","203,342","5,420,598","26.80","26.80","26.30","26.80","+0.60","90",
" 99/02/10","195,175","5,230,992","27.00","27.00","26.70","26.80"," 0.00","105",
" 99/02/22","147,406","4,008,281","27.00","27.40","27.00","27.20","+0.40","75",
" 99/02/23","84,106","2,278,436","27.20","27.30","26.95","27.30","+0.10","47",
" 99/02/24","194,808","5,314,444","27.30","27.40","27.10","27.30"," 0.00","79",
" 99/02/25","470,670","12,977,339","27.35","27.90","27.30","27.35","+0.05","310",
" 99/02/26","346,864","9,452,648","27.35","27.40","27.10","27.20","-0.15","130",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

