"10008る 9921 エ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/08/01","491,466","58,028,022","116.00","118.50","116.00","118.00","+2.50","380",
"100/08/02","801,176","92,671,151","118.00","118.50","113.50","115.00","-3.00","507",
"100/08/03","1,572,902","184,746,018","115.00","120.00","114.50","120.00","+5.00","437",
"100/08/04","1,169,072","139,810,568","120.00","121.00","117.50","119.50","-0.50","477",
"100/08/05","1,146,767","129,170,519","113.50","114.50","111.50","111.50","-8.00","502",
"100/08/08","719,394","75,634,476","105.00","110.00","104.00","104.00","-7.50","401",
"100/08/09","1,743,068","171,916,268","96.80","105.00","96.80","100.00","-4.00","831",
"100/08/10","1,616,440","166,481,359","100.00","107.00","100.00","107.00","+7.00","958",
"100/08/11","1,329,789","143,854,892","106.00","113.00","104.00","109.50","+2.50","962",
"100/08/12","1,015,164","108,506,720","109.50","112.00","105.00","105.00","-4.50","686",
"100/08/15","333,816","35,970,944","107.00","109.00","106.00","109.00","+4.00","280",
"100/08/16","358,343","38,850,544","111.00","111.00","107.00","108.50","-0.50","247",
"100/08/17","428,996","46,366,044","108.00","110.00","105.00","107.50","-1.00","324",
"100/08/18","455,148","48,230,724","109.00","109.00","105.00","106.50","-1.00","384",
"100/08/19","291,628","30,059,708","103.00","104.50","101.50","103.50","-3.00","227",
"100/08/22","350,702","35,918,250","103.50","105.00","100.50","100.50","-3.00","239",
"100/08/23","454,664","47,115,886","101.00","106.00","101.00","105.00","+4.50","368",
"100/08/24","450,893","46,354,444","106.00","106.50","101.50","103.00","-2.00","281",
"100/08/25","459,740","47,860,460","104.00","105.00","103.00","104.50","+1.50","328",
"100/08/26","453,242","47,534,772","106.00","106.00","104.00","105.50","+1.00","300",
"100/08/29","499,826","53,288,556","106.50","108.00","105.00","106.00","+0.50","393",
"100/08/30","343,967","37,013,403","106.00","109.00","105.00","109.00","+3.00","269",
"100/08/31","336,517","36,160,592","109.00","109.00","106.50","108.50","-0.50","245",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

