"108年11月 1319 東陽             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/11/01","1,231,373","58,298,117","47.75","47.80","46.85","46.90","-0.60","764",
"108/11/04","1,188,049","55,715,636","46.80","47.45","46.65","46.90"," 0.00","956",
"108/11/05","787,789","36,923,961","47.20","47.40","46.65","46.70","-0.20","564",
"108/11/06","956,257","44,800,535","47.00","47.15","46.70","46.95","+0.25","600",
"108/11/07","779,004","36,421,932","46.95","47.30","46.50","46.60","-0.35","447",
"108/11/08","718,493","33,740,570","46.80","47.15","46.80","46.80","+0.20","620",
"108/11/11","748,262","35,187,190","46.80","47.25","46.80","47.05","+0.25","548",
"108/11/12","825,721","38,755,740","47.05","47.40","46.50","46.90","-0.15","588",
"108/11/13","930,966","43,133,227","46.90","47.10","46.05","46.15","-0.75","673",
"108/11/14","1,247,087","57,067,661","46.20","46.30","45.45","46.15"," 0.00","784",
"108/11/15","444,284","20,505,968","46.20","46.55","46.00","46.00","-0.15","383",
"108/11/18","651,663","29,901,641","46.00","46.45","45.60","46.20","+0.20","447",
"108/11/19","586,675","26,863,776","46.00","46.15","45.70","45.85","-0.35","456",
"108/11/20","673,018","30,832,528","45.70","46.00","45.70","45.70","-0.15","527",
"108/11/21","768,908","34,866,049","45.70","45.70","45.10","45.40","-0.30","537",
"108/11/22","674,134","30,509,468","45.40","45.55","45.10","45.15","-0.25","531",
"108/11/25","875,760","39,232,296","45.15","45.30","44.60","44.75","-0.40","629",
"108/11/26","1,111,288","49,612,801","44.95","44.95","44.50","44.50","-0.25","798",
"108/11/27","2,605,586","114,722,274","44.10","44.50","43.80","44.35","-0.15","1,553",
"108/11/28","1,431,009","64,455,550","44.50","45.40","44.50","45.25","+0.90","909",
"108/11/29","1,337,631","60,511,788","45.20","45.55","45.10","45.20","-0.05","657",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

