"10309る 1522 出蝴﹁           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/09/01","587,126","10,726,483","18.30","18.40","18.15","18.15","-0.05","198",
"103/09/02","230,723","4,194,534","18.30","18.30","18.15","18.15"," 0.00","121",
"103/09/03","288,861","5,228,552","18.20","18.30","17.95","18.00","-0.15","171",
"103/09/04","230,988","4,157,332","18.05","18.10","17.85","17.85","-0.15","119",
"103/09/05","217,825","3,892,481","18.00","18.00","17.80","17.80","-0.05","135",
"103/09/09","184,957","3,315,580","18.00","18.00","17.80","17.80"," 0.00","121",
"103/09/10","204,424","3,635,222","17.65","17.95","17.65","17.85","+0.05","105",
"103/09/11","192,432","3,456,609","17.85","18.10","17.85","17.95","+0.10","110",
"103/09/12","255,686","4,511,756","17.55","17.85","17.55","17.65","-0.30","130",
"103/09/15","165,044","2,919,172","17.65","17.80","17.60","17.65"," 0.00","88",
"103/09/16","124,161","2,190,567","17.65","17.75","17.55","17.55","-0.10","72",
"103/09/17","787,797","13,678,487","17.60","17.70","17.10","17.35","-0.20","371",
"103/09/18","932,550","16,682,500","17.40","18.20","17.30","18.10","+0.75","440",
"103/09/19","1,281,079","23,543,294","18.30","18.55","18.25","18.35","+0.25","508",
"103/09/22","671,395","12,390,626","18.50","18.60","18.35","18.40","+0.05","296",
"103/09/23","239,598","4,364,421","18.40","18.40","18.10","18.20","-0.20","130",
"103/09/24","264,470","4,816,656","18.20","18.35","18.05","18.05","-0.15","154",
"103/09/25","246,850","4,414,878","18.15","18.20","17.65","17.70","-0.35","143",
"103/09/26","297,442","5,246,216","17.50","17.90","17.30","17.90","+0.20","136",
"103/09/29","120,053","2,140,742","17.65","18.00","17.65","17.85","-0.05","80",
"103/09/30","281,778","4,998,831","17.60","17.95","17.60","17.70","-0.15","171",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

