"112年04月 1522 堤維西           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/04/06","1,169,883","34,538,885","29.65","29.70","29.35","29.55","-0.45","749",
"112/04/07","1,113,594","33,049,164","30.00","30.00","29.55","29.55"," 0.00","657",
"112/04/10","800,705","23,652,100","29.80","29.80","29.30","29.60","+0.05","499",
"112/04/11","674,278","20,084,677","29.90","29.90","29.65","29.70","+0.10","468",
"112/04/12","2,009,585","60,140,420","29.75","30.20","29.60","30.15","+0.45","1,156",
"112/04/13","2,081,412","61,854,017","29.90","30.10","29.50","29.70","-0.45","1,083",
"112/04/14","1,503,272","44,888,768","29.80","30.10","29.70","29.85","+0.15","834",
"112/04/17","3,115,222","94,035,977","30.10","30.40","29.95","30.15","+0.30","1,517",
"112/04/18","4,126,607","125,940,586","30.40","30.75","30.35","30.40","+0.25","2,167",
"112/04/19","5,591,057","172,377,373","30.75","31.15","30.45","30.90","+0.50","2,814",
"112/04/20","4,097,408","125,083,652","31.15","31.20","30.15","30.70","-0.20","2,134",
"112/04/21","4,773,426","141,824,871","30.60","30.80","29.05","29.05","-1.65","2,529",
"112/04/24","1,870,032","54,365,467","29.05","29.40","28.85","29.05"," 0.00","979",
"112/04/25","1,922,082","55,081,545","29.25","29.25","28.30","28.50","-0.55","1,160",
"112/04/26","902,038","25,682,464","28.25","28.70","28.25","28.65","+0.15","536",
"112/04/27","947,817","27,328,965","28.85","29.10","28.45","29.05","+0.40","565",
"112/04/28","2,423,346","71,703,697","29.50","29.85","29.30","29.50","+0.45","1,312",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

