"105年11月 1582 信錦             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/11/01","252,037","13,249,372","52.50","52.80","52.40","52.80"," 0.00","196",
"105/11/02","269,176","14,074,992","52.70","52.70","52.10","52.20","-0.60","192",
"105/11/03","259,128","13,455,168","52.10","52.20","51.80","52.10","-0.10","194",
"105/11/04","165,500","8,595,749","52.00","52.10","51.80","52.00","-0.10","135",
"105/11/07","319,607","16,802,167","52.00","53.00","52.00","52.80","+0.80","191",
"105/11/08","1,057,252","56,992,382","54.00","54.50","53.60","53.60","+0.80","639",
"105/11/09","638,250","33,521,299","52.50","53.10","52.10","52.20","-1.40","469",
"105/11/10","248,000","13,105,000","52.60","53.00","52.60","53.00","+0.80","186",
"105/11/11","504,000","26,725,700","52.90","53.40","52.60","53.30","+0.30","370",
"105/11/14","281,120","14,943,480","53.30","53.40","52.80","53.30"," 0.00","230",
"105/11/15","231,200","12,294,760","53.00","53.40","52.90","53.20","-0.10","192",
"105/11/16","610,100","32,716,310","53.40","53.80","53.30","53.70","+0.50","510",
"105/11/17","452,202","24,334,810","53.90","54.00","53.50","53.80","+0.10","369",
"105/11/18","489,310","26,451,757","54.00","54.30","53.80","54.30","+0.50","384",
"105/11/21","1,104,004","60,767,022","54.50","55.60","54.40","55.50","+1.20","735",
"105/11/22","1,041,866","58,483,221","56.00","56.50","55.70","56.20","+0.70","762",
"105/11/23","904,679","51,073,356","56.40","56.70","56.20","56.50","+0.30","686",
"105/11/24","432,644","24,295,485","56.50","56.60","56.00","56.00","-0.50","312",
"105/11/25","886,540","50,067,318","56.00","57.00","56.00","56.30","+0.30","455",
"105/11/28","445,864","25,047,341","56.30","56.30","56.00","56.30"," 0.00","329",
"105/11/29","1,240,255","71,267,358","56.30","58.00","56.00","57.80","+1.50","884",
"105/11/30","1,126,004","65,607,528","58.30","58.90","57.90","58.50","+0.70","777",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

