"111年10月 1590 亞德客-KY        各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/10/03","529,292","380,996,818","732.00","732.00","708.00","721.00","-11.00","471",
"111/10/04","392,388","301,792,094","742.00","785.00","742.00","782.00","+61.00","528",
"111/10/05","585,767","446,427,323","790.00","793.00","745.00","750.00","-32.00","1,511",
"111/10/06","214,485","162,885,107","746.00","764.00","746.00","762.00","+12.00","267",
"111/10/07","182,678","136,509,575","747.00","753.00","744.00","745.00","-17.00","273",
"111/10/11","1,018,834","708,686,160","717.00","718.00","679.00","690.00","-55.00","1,274",
"111/10/12","478,583","333,464,296","694.00","713.00","674.00","707.00","+17.00","525",
"111/10/13","498,722","347,474,026","707.00","715.00","684.00","689.00","-18.00","530",
"111/10/14","453,345","313,927,057","703.00","709.00","682.00","689.00"," 0.00","449",
"111/10/17","442,124","301,086,002","676.00","696.00","667.00","696.00","+7.00","477",
"111/10/18","602,813","430,710,838","700.00","727.00","686.00","724.00","+28.00","586",
"111/10/19","432,264","314,011,167","716.00","736.00","716.00","731.00","+7.00","422",
"111/10/20","802,079","557,149,378","713.00","716.00","681.00","694.00","-37.00","921",
"111/10/21","502,154","351,065,972","694.00","711.00","687.00","702.00","+8.00","437",
"111/10/24","351,354","249,072,089","703.00","724.00","698.00","698.00","-4.00","447",
"111/10/25","748,969","499,405,448","698.00","698.00","648.00","653.00","-45.00","1,291",
"111/10/26","581,216","383,528,875","669.00","669.00","642.00","664.00","+11.00","591",
"111/10/27","1,194,748","832,358,111","677.00","711.00","673.00","708.00","+44.00","1,139",
"111/10/28","675,457","489,940,443","719.00","735.00","703.00","725.00","+17.00","782",
"111/10/31","429,581","317,281,843","750.00","750.00","727.00","740.00","+15.00","452",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

