"10107る 1609 ㄈ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"101/07/02","621,887","4,530,100","7.29","7.32","7.26","7.29","+0.04","144",
"101/07/03","432,827","3,176,351","7.29","7.36","7.29","7.35","+0.06","158",
"101/07/04","516,826","3,830,750","7.38","7.45","7.35","7.42","+0.07","150",
"101/07/05","469,012","3,484,594","7.42","7.46","7.37","7.44","+0.02","127",
"101/07/06","125,978","932,695","7.43","7.45","7.36","7.38","-0.06","60",
"101/07/09","296,455","2,179,178","7.37","7.39","7.32","7.36","-0.02","90",
"101/07/10","271,058","2,002,208","7.39","7.44","7.32","7.36"," 0.00","115",
"101/07/11","270,396","1,992,523","7.38","7.39","7.35","7.38","+0.02","98",
"101/07/12","372,353","2,725,856","7.38","7.38","7.30","7.31","-0.07","110",
"101/07/13","366,590","2,680,234","7.29","7.35","7.28","7.33","+0.02","117",
"101/07/16","272,808","1,997,180","7.35","7.39","7.28","7.31","-0.02","73",
"101/07/17","401,625","2,942,402","7.31","7.36","7.29","7.36","+0.05","112",
"101/07/18","220,822","1,615,552","7.37","7.38","7.25","7.26","-0.10","101",
"101/07/19","312,219","2,286,390","7.30","7.35","7.29","7.32","+0.06","113",
"101/07/20","178,762","1,310,817","7.32","7.38","7.32","7.32"," 0.00","76",
"101/07/23","391,748","2,834,529","7.32","7.32","7.22","7.25","-0.07","145",
"101/07/24","310,001","2,238,944","7.22","7.25","7.20","7.23","-0.02","119",
"101/07/25","690,693","4,989,591","7.23","7.25","7.17","7.23"," 0.00","218",
"101/07/26","279,384","2,019,701","7.24","7.25","7.21","7.24","+0.01","105",
"101/07/27","545,554","3,984,691","7.26","7.32","7.26","7.30","+0.06","166",
"101/07/30","379,088","2,786,015","7.26","7.39","7.26","7.35","+0.05","163",
"101/07/31","1,346,337","10,018,438","7.35","7.48","7.35","7.48","+0.13","347",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

