"106年09月 1609 大亞             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/09/01","6,900,320","54,788,176","8.07","8.07","7.87","7.90","-0.12","1,504",
"106/09/04","4,585,210","36,085,420","7.92","7.93","7.81","7.82","-0.08","1,142",
"106/09/05","44,642,696","373,036,504","7.90","8.60","7.88","8.55","+0.73","8,285",
"106/09/06","16,174,210","134,502,951","8.45","8.46","8.20","8.28","-0.27","3,399",
"106/09/07","8,061,107","66,575,644","8.40","8.42","8.16","8.17","-0.11","1,893",
"106/09/08","5,412,608","44,375,564","8.21","8.29","8.16","8.16","-0.01","1,382",
"106/09/11","6,581,910","53,010,121","8.17","8.20","8.00","8.02","-0.14","1,609",
"106/09/12","6,709,753","54,911,230","8.20","8.28","8.08","8.11","+0.09","1,816",
"106/09/13","5,667,700","46,239,724","8.13","8.26","8.05","8.16","+0.05","1,591",
"106/09/14","8,532,554","71,007,844","8.21","8.40","8.21","8.30","+0.14","1,934",
"106/09/15","4,562,693","37,491,965","8.33","8.35","8.18","8.18","-0.12","1,094",
"106/09/18","3,308,479","27,084,275","8.24","8.24","8.15","8.16","-0.02","826",
"106/09/19","5,811,398","47,932,915","8.24","8.35","8.15","8.15","-0.01","1,260",
"106/09/20","4,499,674","36,461,271","8.21","8.21","8.07","8.08","-0.07","1,031",
"106/09/21","2,166,854","17,609,830","8.12","8.18","8.09","8.10","+0.02","605",
"106/09/22","3,344,502","26,933,609","8.11","8.15","8.00","8.01","-0.09","867",
"106/09/25","5,802,580","45,191,026","8.06","8.06","7.69","7.73","-0.28","1,539",
"106/09/26","3,909,164","30,052,049","7.65","7.79","7.63","7.63","-0.10","1,168",
"106/09/27","2,086,579","16,071,162","7.70","7.75","7.66","7.71","+0.08","562",
"106/09/28","1,752,348","13,545,180","7.80","7.82","7.69","7.69","-0.02","425",
"106/09/29","2,881,278","21,835,474","7.72","7.72","7.50","7.58","-0.11","631",
"106/09/30","6,348,721","49,919,429","7.67","8.00","7.62","7.85","+0.27","1,647",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

