"10501る 1612 Щ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/01/04","95,175","804,236","8.51","8.52","8.34","8.41","-0.10","51",
"105/01/05","127,009","1,074,092","8.32","8.56","8.32","8.39","-0.02","51",
"105/01/06","46,459","386,967","8.42","8.42","8.20","8.32","-0.07","40",
"105/01/07","215,109","1,774,182","8.33","8.36","8.10","8.20","-0.12","63",
"105/01/08","130,002","1,067,096","8.20","8.30","8.20","8.22","+0.02","27",
"105/01/11","89,009","721,992","8.00","8.19","8.00","8.11","-0.11","37",
"105/01/12","198,852","1,613,540","8.11","8.20","8.09","8.12","+0.01","60",
"105/01/13","357,691","2,885,778","8.11","8.12","8.00","8.01","-0.11","72",
"105/01/14","247,015","1,958,212","7.98","8.00","7.88","7.89","-0.12","60",
"105/01/15","126,009","997,453","8.15","8.15","7.89","7.89"," 0.00","31",
"105/01/18","81,250","655,250","7.80","8.16","7.80","8.10","+0.21","34",
"105/01/19","88,157","713,727","8.10","8.21","7.98","8.21","+0.11","36",
"105/01/20","56,015","453,000","8.12","8.12","8.02","8.02","-0.19","26",
"105/01/21","210,002","1,634,704","7.57","7.90","7.57","7.88","-0.14","70",
"105/01/22","159,006","1,260,508","7.88","8.00","7.82","8.00","+0.12","43",
"105/01/25","51,050","411,450","8.00","8.24","8.00","8.00"," 0.00","36",
"105/01/26","26,004","205,908","8.00","8.00","7.86","7.90","-0.10","19",
"105/01/27","387,010","3,096,860","7.90","8.08","7.90","8.00","+0.10","48",
"105/01/28","28,001","227,628","8.00","8.32","8.00","8.07","+0.07","19",
"105/01/29","105,007","852,306","8.13","8.15","8.08","8.08","+0.01","30",
"105/01/30","41,006","331,818","8.08","8.12","8.06","8.12","+0.04","25",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

