"111年12月 1612 宏泰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/12/01","976,545","16,073,370","16.65","16.70","16.35","16.40","-0.15","432",
"111/12/02","1,463,579","24,500,192","16.40","16.85","16.40","16.85","+0.45","733",
"111/12/05","809,196","13,623,592","16.90","16.95","16.75","16.75","-0.10","434",
"111/12/06","813,088","13,389,125","16.70","16.75","16.20","16.20","-0.55","456",
"111/12/07","638,126","10,295,634","16.20","16.50","16.00","16.10","-0.10","390",
"111/12/08","300,578","4,842,587","16.10","16.25","16.00","16.15","+0.05","182",
"111/12/09","444,219","7,237,791","16.20","16.40","16.15","16.35","+0.20","313",
"111/12/12","2,192,483","36,856,596","16.45","17.00","16.35","16.95","+0.60","1,051",
"111/12/13","1,505,291","25,401,892","17.10","17.10","16.70","16.80","-0.15","755",
"111/12/14","971,026","16,452,715","16.90","17.10","16.75","16.90","+0.10","484",
"111/12/15","585,646","9,923,159","16.90","17.05","16.85","17.00","+0.10","398",
"111/12/16","699,313","11,642,898","16.75","16.80","16.55","16.65","-0.35","411",
"111/12/19","453,872","7,546,036","16.65","16.80","16.45","16.70","+0.05","246",
"111/12/20","716,557","11,749,999","16.70","16.80","16.10","16.15","-0.55","468",
"111/12/21","519,467","8,607,250","16.30","16.75","16.30","16.45","+0.30","308",
"111/12/22","458,030","7,672,212","16.70","16.90","16.55","16.70","+0.25","238",
"111/12/23","304,255","4,995,199","16.30","16.55","16.30","16.50","-0.20","210",
"111/12/26","405,456","6,619,034","16.60","16.60","16.20","16.25","-0.25","239",
"111/12/27","195,643","3,219,478","16.30","16.55","16.30","16.40","+0.15","122",
"111/12/28","258,396","4,218,393","16.25","16.50","16.15","16.20","-0.20","176",
"111/12/29","544,046","8,764,792","16.20","16.25","16.00","16.15","-0.05","239",
"111/12/30","163,344","2,656,135","16.20","16.35","16.20","16.25","+0.10","106",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

