"102年01月 1734 杏輝             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/01/02","1,536,595","49,775,695","32.50","32.60","32.20","32.30","-0.10","851",
"102/01/03","2,812,221","92,040,539","32.30","33.05","32.30","32.55","+0.25","1,334",
"102/01/04","1,638,801","53,599,717","32.60","33.00","32.50","32.55"," 0.00","910",
"102/01/07","3,207,089","105,658,386","33.00","33.35","32.60","32.60","+0.05","1,497",
"102/01/08","1,577,858","51,234,083","32.60","32.90","32.25","32.45","-0.15","867",
"102/01/09","1,683,391","54,280,549","32.45","32.70","32.05","32.15","-0.30","849",
"102/01/10","3,247,565","103,044,938","32.15","32.45","31.30","31.30","-0.85","1,589",
"102/01/11","1,273,566","40,393,232","31.60","31.95","31.50","31.60","+0.30","726",
"102/01/14","2,200,938","70,355,973","31.60","32.25","31.50","31.80","+0.20","1,077",
"102/01/15","3,248,727","104,996,147","32.10","32.55","32.10","32.20","+0.40","1,655",
"102/01/16","1,599,094","50,974,545","32.50","32.50","31.60","31.60","-0.60","822",
"102/01/17","3,140,167","96,232,732","31.80","31.80","29.70","29.90","-1.70","1,566",
"102/01/18","2,207,709","67,050,621","30.40","30.70","30.00","30.55","+0.65","1,192",
"102/01/21","981,692","30,184,360","30.55","30.90","30.40","30.80","+0.25","535",
"102/01/22","1,344,108","41,709,281","31.00","31.20","30.80","31.05","+0.25","641",
"102/01/23","1,140,049","35,346,502","31.20","31.30","30.75","30.80","-0.25","548",
"102/01/24","853,682","26,082,307","30.80","30.80","30.25","30.40","-0.40","521",
"102/01/25","688,979","21,165,559","30.40","30.90","30.40","30.55","+0.15","424",
"102/01/28","611,177","18,708,109","30.55","30.85","30.35","30.50","-0.05","330",
"102/01/29","733,313","22,564,476","30.75","30.95","30.50","30.80","+0.30","377",
"102/01/30","1,215,902","37,763,828","31.00","31.25","30.85","30.85","+0.05","651",
"102/01/31","7,309,057","238,585,681","31.90","33.00","31.60","32.30","+1.45","3,125",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

