"107年06月 2002 中鋼             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/06/01","23,059,659","545,923,972","23.60","23.80","23.50","23.75","+0.15","8,208",
"107/06/04","37,769,494","907,117,520","23.75","24.20","23.75","24.20","+0.45","14,167",
"107/06/05","24,558,357","595,265,068","24.20","24.35","24.15","24.30","+0.10","10,092",
"107/06/06","14,775,395","357,931,116","24.25","24.30","24.15","24.25","-0.05","5,438",
"107/06/07","19,842,751","482,937,927","24.40","24.40","24.20","24.40","+0.15","6,814",
"107/06/08","12,039,235","292,035,955","24.20","24.40","24.15","24.40"," 0.00","3,874",
"107/06/11","10,361,945","250,086,654","24.30","24.40","24.00","24.10","-0.30","3,485",
"107/06/12","13,903,846","335,070,857","24.00","24.20","23.95","24.15","+0.05","4,693",
"107/06/13","10,150,093","244,249,583","24.05","24.10","24.00","24.05","-0.10","3,449",
"107/06/14","18,303,968","434,815,059","23.90","23.95","23.60","23.70","-0.35","7,930",
"107/06/15","29,040,578","687,390,414","23.70","23.80","23.60","23.65","-0.05","4,923",
"107/06/19","20,906,293","490,429,886","23.40","23.60","23.40","23.40","-0.25","6,510",
"107/06/20","14,479,866","343,464,696","23.65","23.95","23.50","23.80","+0.40","5,989",
"107/06/21","9,539,034","225,476,081","23.80","23.90","23.60","23.65","-0.15","3,713",
"107/06/22","10,793,088","255,280,884","23.60","23.75","23.60","23.70","+0.05","3,469",
"107/06/25","13,692,936","321,330,950","23.50","23.60","23.40","23.40","-0.30","5,721",
"107/06/26","7,312,593","171,201,393","23.40","23.50","23.40","23.40"," 0.00","3,175",
"107/06/27","17,121,899","398,758,955","23.40","23.45","23.25","23.25","-0.15","6,881",
"107/06/28","12,796,523","297,756,822","23.25","23.40","23.20","23.25"," 0.00","4,379",
"107/06/29","13,539,177","318,317,484","23.25","23.70","23.20","23.70","+0.45","4,424",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

