"112年08月 2344 華邦電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/08/01","39,797,135","1,176,456,015","29.95","30.10","29.25","29.30","-0.05","17,719",
"112/08/02","32,421,187","920,402,148","29.10","29.10","28.00","28.10","-1.20","14,717",
"112/08/04","107,595,436","2,896,054,869","27.85","27.85","26.35","27.25","-0.85","35,858",
"112/08/07","20,548,397","565,673,908","27.30","27.75","27.10","27.70","+0.45","7,965",
"112/08/08","19,454,017","529,291,118","27.80","27.80","27.05","27.10","-0.60","8,044",
"112/08/09","30,335,652","816,307,785","26.95","27.30","26.60","27.05","-0.05","9,521",
"112/08/10","20,272,864","542,987,113","27.05","27.15","26.65","26.80","-0.25","6,806",
"112/08/11","10,883,485","292,087,391","27.10","27.10","26.60","26.80"," 0.00","4,940",
"112/08/14","40,231,924","1,034,069,157","26.55","26.60","25.30","25.45","-1.35","16,536",
"112/08/15","18,444,730","483,172,518","26.20","26.45","26.00","26.15","+0.70","7,668",
"112/08/16","17,322,562","443,642,288","25.70","25.80","25.45","25.65","-0.50","8,235",
"112/08/17","20,767,752","530,163,799","25.35","25.90","25.05","25.90","+0.25","9,302",
"112/08/18","15,750,902","405,832,671","25.95","26.20","25.45","25.65","-0.25","6,930",
"112/08/21","18,746,956","475,741,248","25.80","25.85","25.15","25.50","-0.15","6,629",
"112/08/22","17,027,003","433,125,448","25.55","25.90","25.25","25.25","-0.25","6,036",
"112/08/23","15,205,459","388,188,113","25.25","25.75","25.10","25.70","+0.45","6,951",
"112/08/24","21,771,291","569,438,388","26.15","26.40","25.80","26.25","+0.55","9,004",
"112/08/25","11,328,599","292,795,701","26.05","26.10","25.70","25.75","-0.50","4,849",
"112/08/28","9,961,739","254,718,398","25.85","25.85","25.35","25.45","-0.30","3,563",
"112/08/29","15,448,187","400,944,402","25.75","26.20","25.55","26.20","+0.75","4,893",
"112/08/30","31,085,697","821,543,057","26.80","26.80","26.00","26.30","+0.10","11,289",
"112/08/31","20,027,197","530,796,909","26.45","26.80","26.30","26.35","+0.05","6,906",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

