"102年03月 2351 順德             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/03/01","642,256","17,296,596","27.00","27.20","26.60","26.70","+0.05","309",
"102/03/04","1,005,869","26,059,883","26.70","26.75","25.40","25.55","-1.15","414",
"102/03/05","1,609,737","43,108,619","25.60","27.30","25.60","27.30","+1.75","661",
"102/03/06","3,452,487","97,853,650","27.60","28.90","27.50","28.60","+1.30","1,350",
"102/03/07","1,015,852","28,910,856","28.65","28.75","28.20","28.20","-0.40","482",
"102/03/08","702,000","19,812,100","28.35","28.60","27.80","27.85","-0.35","323",
"102/03/11","1,590,535","46,299,387","27.85","29.40","27.85","29.00","+1.15","642",
"102/03/12","679,095","19,492,437","29.15","29.20","28.25","28.25","-0.75","317",
"102/03/13","575,743","16,404,502","28.30","28.80","28.15","28.35","+0.10","257",
"102/03/14","607,257","17,029,455","28.35","28.60","27.30","27.40","-0.95","251",
"102/03/15","675,024","18,890,225","27.60","28.35","27.55","28.30","+0.90","287",
"102/03/18","385,100","10,657,950","28.40","28.40","27.30","27.50","-0.80","189",
"102/03/19","331,650","9,191,091","27.50","28.00","27.50","27.60","+0.10","172",
"102/03/20","931,326","26,015,046","27.60","28.30","27.50","27.50","-0.10","264",
"102/03/21","1,044,040","29,569,502","27.60","28.70","27.60","28.70","+1.20","453",
"102/03/22","1,119,696","32,326,938","28.70","29.30","28.50","28.80","+0.10","423",
"102/03/25","1,428,161","42,311,389","29.00","30.10","29.00","29.90","+1.10","589",
"102/03/26","1,093,024","32,968,270","30.00","30.80","29.30","30.20","+0.30","497",
"102/03/27","706,277","21,069,857","30.20","30.45","29.55","29.55","-0.65","306",
"102/03/28","417,001","12,380,279","30.10","30.10","29.40","29.55"," 0.00","186",
"102/03/29","560,081","16,458,172","29.60","30.00","28.70","29.35","-0.20","253",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

