"112年04月 2352 佳世達           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/04/06","16,125,132","518,232,325","31.80","32.50","31.50","32.30","+0.60","7,436",
"112/04/07","10,213,824","333,881,637","32.35","33.00","32.30","32.35","+0.05","6,075",
"112/04/10","6,578,585","213,088,576","32.40","32.60","32.15","32.30","-0.05","3,337",
"112/04/11","6,983,505","228,883,279","32.50","32.90","32.45","32.85","+0.55","3,250",
"112/04/12","7,745,081","257,106,252","32.95","33.30","32.95","33.25","+0.40","4,189",
"112/04/13","5,570,576","184,922,948","33.30","33.35","33.00","33.10","-0.15","2,868",
"112/04/14","5,651,974","185,365,510","33.10","33.25","32.55","32.70","-0.40","3,563",
"112/04/17","4,657,956","153,424,051","32.55","33.00","32.55","33.00","+0.30","2,290",
"112/04/18","3,091,617","101,952,745","33.15","33.15","32.80","32.95","-0.05","1,680",
"112/04/19","4,002,319","131,612,724","33.10","33.15","32.70","32.80","-0.15","2,174",
"112/04/20","5,353,957","175,118,533","32.70","32.90","32.40","32.75","-0.05","2,660",
"112/04/21","7,723,040","251,568,198","32.75","33.00","32.30","32.50","-0.25","3,245",
"112/04/24","5,036,874","165,203,570","32.85","33.00","32.60","32.70","+0.20","3,000",
"112/04/25","5,910,661","192,151,134","32.95","32.95","32.30","32.50","-0.20","3,190",
"112/04/26","11,722,347","386,412,445","32.40","33.20","32.40","33.20","+0.70","5,924",
"112/04/27","12,367,547","416,607,784","33.30","34.00","33.30","33.50","+0.30","6,544",
"112/04/28","19,367,061","665,749,314","33.90","34.80","33.75","34.60","+1.10","9,909",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

