"111年04月 2353 宏碁             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/04/01","10,465,462","310,093,384","29.75","29.80","29.30","29.65","-0.30","5,394",
"111/04/06","14,952,581","438,038,637","29.40","29.45","29.10","29.30","-0.35","7,553",
"111/04/07","25,238,837","723,973,953","29.00","29.10","28.30","28.30","-1.00","10,428",
"111/04/08","9,545,111","275,858,464","28.55","29.10","28.50","29.00","+0.70","4,758",
"111/04/11","11,204,699","322,968,330","29.05","29.20","28.60","28.85","-0.15","5,356",
"111/04/12","19,540,899","553,066,972","28.80","28.80","28.00","28.10","-0.75","8,901",
"111/04/13","9,041,501","257,049,406","28.35","28.60","28.25","28.40","+0.30","4,416",
"111/04/14","13,025,073","369,248,468","28.40","28.50","28.20","28.45","+0.05","7,448",
"111/04/15","11,249,495","316,444,009","28.30","28.35","28.05","28.10","-0.35","4,374",
"111/04/18","12,003,286","339,432,992","28.00","28.55","27.90","28.40","+0.30","5,930",
"111/04/19","13,195,351","374,086,188","28.40","28.55","28.20","28.20","-0.20","5,075",
"111/04/20","13,496,764","381,187,944","28.40","28.40","28.15","28.20"," 0.00","5,063",
"111/04/21","15,018,341","423,770,357","28.30","28.50","28.10","28.10","-0.10","5,840",
"111/04/22","15,257,615","426,213,970","27.90","28.15","27.85","27.90","-0.20","6,980",
"111/04/25","20,841,946","565,770,396","27.50","27.55","27.00","27.10","-0.80","9,145",
"111/04/26","13,526,734","369,925,415","27.25","27.50","27.10","27.45","+0.35","5,645",
"111/04/27","15,658,535","420,793,929","27.10","27.10","26.65","26.85","-0.60","7,354",
"111/04/28","12,201,115","333,479,434","27.00","27.70","26.95","27.70","+0.85","4,851",
"111/04/29","10,707,090","296,680,058","27.90","27.95","27.55","27.60","-0.10","3,968",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

