"111年08月 2382 廣達             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/08/01","18,807,054","1,470,261,779","78.80","78.90","77.00","78.40","X0.00","8,403",
"111/08/02","8,200,695","641,817,717","78.10","78.70","77.70","78.70","+0.30","5,284",
"111/08/03","7,873,306","615,923,290","78.90","78.90","77.80","78.50","-0.20","4,427",
"111/08/04","6,134,676","481,586,493","78.70","79.30","78.00","78.30","-0.20","4,289",
"111/08/05","6,011,115","474,826,193","79.20","79.30","78.60","79.10","+0.80","3,313",
"111/08/08","5,400,404","426,640,963","78.90","79.70","78.40","79.70","+0.60","3,112",
"111/08/09","4,253,137","340,795,631","79.60","80.60","79.00","80.50","+0.80","3,310",
"111/08/10","5,643,952","458,210,042","79.90","81.60","79.90","81.50","+1.00","3,219",
"111/08/11","6,219,426","506,364,386","82.00","82.00","80.90","81.30","-0.20","4,350",
"111/08/12","5,036,039","408,463,200","81.60","82.00","80.80","80.90","-0.40","3,039",
"111/08/15","18,091,675","1,413,889,832","80.80","80.80","77.70","77.80","-3.10","11,551",
"111/08/16","14,420,786","1,121,885,862","77.20","78.50","76.00","78.40","+0.60","8,841",
"111/08/17","9,343,208","727,653,168","78.20","78.30","77.70","77.80","-0.60","4,947",
"111/08/18","5,814,292","455,665,641","78.00","79.00","77.60","79.00","+1.20","3,261",
"111/08/19","5,660,083","446,995,511","78.50","79.80","78.30","79.80","+0.80","2,986",
"111/08/22","5,386,416","426,732,641","78.80","79.60","78.50","79.50","-0.30","3,204",
"111/08/23","4,378,156","344,042,778","79.20","79.20","78.20","78.30","-1.20","2,353",
"111/08/24","3,706,460","290,427,623","78.40","78.80","78.10","78.40","+0.10","2,026",
"111/08/25","3,216,363","253,101,614","78.70","79.00","78.10","79.00","+0.60","1,659",
"111/08/26","6,155,425","486,109,584","79.00","79.20","78.70","79.00"," 0.00","3,018",
"111/08/29","5,700,489","445,649,664","77.70","78.70","77.50","78.30","-0.70","2,977",
"111/08/30","4,788,737","375,364,331","78.00","79.10","77.70","78.60","+0.30","2,912",
"111/08/31","7,206,876","568,980,564","78.40","79.30","78.20","79.30","+0.70","2,526",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

