"108年08月 2409 友達             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/08/01","62,113,594","504,231,747","8.17","8.17","8.10","8.10","-0.17","19,745",
"108/08/02","69,237,127","554,676,237","8.02","8.14","7.93","8.14","+0.04","12,823",
"108/08/05","55,502,527","441,322,158","8.00","8.04","7.91","7.91","-0.23","12,398",
"108/08/06","67,629,272","515,709,747","7.68","7.78","7.51","7.77","-0.14","13,108",
"108/08/07","57,321,973","435,463,756","7.76","7.76","7.51","7.52","-0.25","13,043",
"108/08/08","56,216,054","430,516,436","7.48","7.77","7.48","7.66","+0.14","10,483",
"108/08/12","46,616,993","349,160,066","7.57","7.57","7.45","7.45","-0.21","9,379",
"108/08/13","60,423,034","442,328,253","7.38","7.42","7.27","7.27","-0.18","10,115",
"108/08/14","86,977,647","629,341,124","7.35","7.36","7.11","7.11","-0.16","14,414",
"108/08/15","80,684,620","565,360,049","6.99","7.09","6.92","7.03","-0.08","13,775",
"108/08/16","108,242,375","796,138,266","7.07","7.52","7.06","7.42","+0.39","17,926",
"108/08/19","90,728,797","702,120,181","7.58","7.84","7.53","7.80","+0.38","16,329",
"108/08/20","82,469,720","644,912,028","7.93","7.97","7.71","7.71","-0.09","14,214",
"108/08/21","51,623,810","406,612,385","7.89","7.95","7.81","7.87","+0.16","10,645",
"108/08/22","61,169,218","471,904,547","7.90","7.92","7.62","7.64","-0.23","11,591",
"108/08/23","38,582,189","297,220,247","7.64","7.77","7.63","7.76","+0.12","8,564",
"108/08/26","43,452,348","334,054,267","7.70","7.77","7.64","7.65","-0.11","7,359",
"108/08/27","71,640,110","540,648,415","7.72","7.73","7.45","7.45","-0.20","8,701",
"108/08/28","49,361,702","371,395,619","7.47","7.57","7.47","7.52","+0.07","7,091",
"108/08/29","77,630,360","602,846,687","7.60","7.88","7.57","7.83","+0.31","15,985",
"108/08/30","114,319,345","931,777,257","7.88","8.29","7.88","8.18","+0.35","17,372",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

