"10408る 2457 Щ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/08/03","316,282","3,061,564","9.80","9.80","9.61","9.68","-0.13","203",
"104/08/04","1,343,844","12,903,000","9.64","9.84","9.34","9.34","-0.34","437",
"104/08/05","1,621,460","14,778,821","9.30","9.35","8.70","9.30","-0.04","412",
"104/08/06","998,538","9,234,815","9.34","9.37","9.14","9.14","-0.16","208",
"104/08/07","1,863,972","15,884,042","8.30","8.68","8.30","8.59","-0.55","556",
"104/08/10","1,032,411","8,900,915","8.70","8.70","8.56","8.60","+0.01","255",
"104/08/11","826,194","7,172,018","8.70","8.82","8.55","8.55","-0.05","365",
"104/08/12","591,640","5,020,542","8.39","8.58","8.39","8.55"," 0.00","208",
"104/08/13","464,904","4,020,241","8.56","8.76","8.52","8.72","+0.17","173",
"104/08/14","523,712","4,633,088","8.72","8.95","8.71","8.84","+0.12","216",
"104/08/17","667,451","5,713,054","8.90","8.95","8.33","8.33","-0.51","272",
"104/08/18","435,085","3,686,992","8.35","8.54","8.35","8.42","+0.09","185",
"104/08/19","760,428","6,234,538","8.40","8.48","8.06","8.09","-0.33","296",
"104/08/20","566,462","4,583,375","8.01","8.28","7.94","8.12","+0.03","211",
"104/08/21","1,174,056","9,018,338","8.07","8.07","7.46","7.51","-0.61","463",
"104/08/24","1,939,400","13,300,854","7.00","7.24","6.76","6.82","-0.69","546",
"104/08/25","1,480,157","10,039,990","6.21","7.45","6.21","7.45","+0.63","522",
"104/08/26","995,876","7,146,431","7.15","7.30","7.03","7.22","-0.23","412",
"104/08/27","904,116","6,714,172","7.25","7.60","7.25","7.43","+0.21","349",
"104/08/28","748,837","5,774,659","7.90","7.90","7.63","7.65","+0.22","350",
"104/08/31","395,497","3,039,565","7.66","7.80","7.52","7.70","+0.05","178",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

