"109年07月 2457 飛宏             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/07/01","9,487,745","82,873,162","8.62","9.29","8.36","9.10","+0.47","3,143",
"109/07/02","4,593,125","42,453,406","9.01","9.50","9.01","9.23","+0.13","1,691",
"109/07/03","6,565,162","60,870,005","9.24","9.57","9.00","9.44","+0.21","2,021",
"109/07/06","4,036,674","37,683,975","9.48","9.50","9.18","9.23","-0.21","1,507",
"109/07/07","3,596,139","33,587,837","9.32","9.58","9.20","9.26","+0.03","1,143",
"109/07/08","2,263,378","21,070,149","9.26","9.46","9.22","9.28","+0.02","874",
"109/07/09","2,550,582","24,035,729","9.37","9.58","9.32","9.34","+0.06","970",
"109/07/10","7,443,501","69,649,955","9.37","9.51","9.05","9.12","-0.22","1,484",
"109/07/13","18,410,301","182,084,460","9.26","10.00","9.26","10.00","+0.88","3,190",
"109/07/14","8,646,867","84,536,511","9.80","10.20","9.50","9.51","-0.49","2,621",
"109/07/15","3,153,142","29,827,632","9.55","9.74","9.20","9.29","-0.22","1,166",
"109/07/16","1,468,321","13,796,098","9.31","9.59","9.30","9.35","+0.06","539",
"109/07/17","2,853,125","26,119,271","9.37","9.49","9.01","9.01","-0.34","853",
"109/07/20","1,691,145","15,551,113","9.03","9.45","9.00","9.20","+0.19","611",
"109/07/21","13,800,496","134,039,812","9.39","10.10","9.20","9.20"," 0.00","3,303",
"109/07/22","2,303,034","21,396,332","9.15","9.41","9.15","9.35","+0.15","797",
"109/07/23","1,069,421","9,957,052","9.40","9.40","9.25","9.28","-0.07","505",
"109/07/24","2,407,245","21,791,690","9.26","9.32","8.80","8.95","-0.33","822",
"109/07/27","1,663,813","14,722,889","9.10","9.16","8.65","8.76","-0.19","679",
"109/07/28","1,711,065","14,742,368","8.80","8.92","8.47","8.47","-0.29","582",
"109/07/29","1,401,900","12,288,892","8.47","8.95","8.47","8.75","+0.28","481",
"109/07/30","898,774","8,026,464","9.06","9.06","8.86","8.96","+0.21","321",
"109/07/31","738,630","6,627,438","8.95","9.05","8.85","8.94","-0.02","251",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

