"110年11月 2498 宏達電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/11/01","27,011,682","1,910,070,496","68.00","72.10","68.00","72.10","+6.50","9,482",
"110/11/02","30,441,253","2,134,501,533","74.80","74.80","66.20","68.20","-3.90","13,210",
"110/11/03","30,557,999","2,017,674,706","68.00","71.20","63.90","71.20","+3.00","11,782",
"110/11/04","15,146,663","1,072,205,379","72.10","73.80","67.00","67.00","-4.20","6,661",
"110/11/05","12,277,342","835,673,636","67.00","70.00","65.30","70.00","+3.00","5,439",
"110/11/08","19,130,210","1,420,234,783","69.70","77.00","69.70","77.00","+7.00","8,160",
"110/11/09","23,291,825","1,907,841,332","77.90","84.50","77.80","81.50","+4.50","9,016",
"110/11/10","19,100,868","1,646,356,061","81.40","89.60","81.40","89.60","+8.10","8,015",
"110/11/11","36,899,193","3,114,997,944","85.00","90.00","80.70","82.70","-6.90","12,929",
"110/11/12","179,260,892","15,830,345,632","88.10","90.90","83.00","90.90","+8.20","75,970",
"110/11/15","234,358,655","21,859,814,684","94.70","97.30","87.10","90.90"," 0.00","123,104",
"110/11/16","138,667,853","11,991,813,769","90.90","91.90","81.90","82.10","-8.80","79,409",
"110/11/17","146,400,354","12,488,010,049","83.50","89.80","81.50","87.50","+5.40","79,703",
"110/11/18","84,573,854","7,321,336,081","86.50","88.50","85.00","86.10","-1.40","47,350",
"110/11/19","160,291,570","14,226,302,070","86.40","91.80","86.30","87.60","+1.50","83,827",
"110/11/22","64,515,570","5,668,973,509","87.80","89.30","86.70","86.70","-0.90","35,574",
"110/11/23","113,815,416","9,137,947,100","85.00","85.50","78.10","78.40","-8.30","62,513",
"110/11/24","64,804,316","5,159,070,721","79.60","81.00","78.10","79.40","+1.00","35,418",
"110/11/25","112,324,564","9,272,190,065","80.90","84.80","80.30","81.00","+1.60","59,533",
"110/11/26","96,673,666","7,613,594,045","80.80","82.20","75.50","77.80","-3.20","53,859",
"110/11/29","80,119,224","6,040,372,055","75.90","78.00","72.30","78.00","+0.20","39,466",
"110/11/30","85,762,864","6,877,470,122","80.50","82.50","77.50","77.50","-0.50","44,265",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

