"10309る 2515 い             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/09/01","1,319,209","10,536,544","7.96","8.01","7.96","7.96"," 0.00","411",
"103/09/02","1,829,822","14,584,241","7.96","7.99","7.93","7.98","+0.02","404",
"103/09/03","1,440,684","11,461,407","7.99","7.99","7.93","7.97","-0.01","231",
"103/09/04","1,732,315","13,778,802","7.96","7.98","7.94","7.95","-0.02","349",
"103/09/05","3,145,758","25,209,661","7.95","8.10","7.93","8.10","+0.15","514",
"103/09/09","6,955,041","56,983,469","8.30","8.30","8.10","8.14","+0.04","1,292",
"103/09/10","2,021,706","16,393,667","8.12","8.14","8.09","8.12","-0.02","504",
"103/09/11","3,186,102","25,824,464","8.11","8.14","8.08","8.12"," 0.00","758",
"103/09/12","2,251,992","17,939,598","8.00","8.00","7.94","7.94","X0.00","544",
"103/09/15","1,607,666","12,703,001","7.92","7.95","7.87","7.87","-0.07","483",
"103/09/16","1,228,656","9,648,106","7.87","7.90","7.83","7.84","-0.03","306",
"103/09/17","1,757,645","13,801,117","7.85","7.89","7.81","7.86","+0.02","667",
"103/09/18","1,036,808","8,127,120","7.82","7.87","7.82","7.82","-0.04","291",
"103/09/19","1,294,915","10,177,444","7.85","7.89","7.82","7.89","+0.07","267",
"103/09/22","1,092,889","8,614,908","7.88","7.91","7.86","7.90","+0.01","279",
"103/09/23","1,035,731","8,124,574","7.88","7.89","7.81","7.83","-0.07","275",
"103/09/24","1,520,336","11,948,064","7.83","7.91","7.82","7.85","+0.02","552",
"103/09/25","1,739,056","13,599,439","7.87","7.87","7.78","7.78","-0.07","451",
"103/09/26","2,142,515","16,621,073","7.70","7.85","7.68","7.79","+0.01","492",
"103/09/29","1,211,778","9,463,171","7.79","7.88","7.78","7.79"," 0.00","280",
"103/09/30","3,199,591","24,471,431","7.59","7.73","7.59","7.67","-0.12","820",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

