"107年06月 2606 裕民             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/06/01","823,113","27,801,408","34.00","34.05","33.65","33.65","-0.70","408",
"107/06/04","670,824","22,691,291","34.10","34.15","33.65","33.80","+0.15","351",
"107/06/05","380,378","12,846,933","34.00","34.00","33.70","33.70","-0.10","246",
"107/06/06","808,975","27,360,807","33.80","33.95","33.75","33.80","+0.10","347",
"107/06/07","1,305,085","44,445,671","34.20","34.40","33.80","33.95","+0.15","684",
"107/06/08","633,854","21,557,192","34.00","34.20","33.90","33.95"," 0.00","333",
"107/06/11","560,594","19,075,964","34.25","34.30","33.90","33.95"," 0.00","309",
"107/06/12","579,911","19,651,033","33.90","34.00","33.75","33.80","-0.15","391",
"107/06/13","595,845","20,144,464","33.85","33.90","33.75","33.75","-0.05","368",
"107/06/14","597,500","20,131,122","33.75","33.80","33.55","33.55","-0.20","404",
"107/06/15","564,001","19,060,383","33.60","33.90","33.55","33.90","+0.35","273",
"107/06/19","334,980","11,278,828","34.05","34.05","33.50","33.50","-0.40","269",
"107/06/20","845,230","28,153,542","33.50","33.50","33.15","33.40","-0.10","497",
"107/06/21","530,637","17,641,643","33.30","33.40","33.20","33.20","-0.20","385",
"107/06/22","888,722","29,180,866","33.00","33.00","32.70","32.70","-0.50","447",
"107/06/25","354,277","11,580,127","32.60","32.85","32.60","32.60","-0.10","186",
"107/06/26","527,370","16,967,749","32.50","32.50","32.05","32.05","-0.55","284",
"107/06/27","339,388","10,915,854","32.05","32.35","32.05","32.05"," 0.00","206",
"107/06/28","784,545","24,939,590","32.00","32.05","31.60","31.60","-0.45","412",
"107/06/29","1,352,333","43,538,452","31.60","33.50","31.60","33.50","+1.90","566",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

