"103年10月 2634 漢翔             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"103/10/01","3,649,038","135,677,069","37.00","37.55","37.00","37.05","-0.25","1,950",
"103/10/02","8,038,211","290,735,729","36.90","37.00","35.50","36.20","-0.85","3,919",
"103/10/03","3,931,070","142,272,947","36.20","36.50","35.85","36.20"," 0.00","2,007",
"103/10/06","3,374,900","122,711,309","36.30","36.65","36.05","36.10","-0.10","1,549",
"103/10/07","5,758,150","205,519,289","36.05","36.10","35.20","35.40","-0.70","2,735",
"103/10/08","4,976,855","178,683,885","35.20","36.35","35.10","35.80","+0.40","2,415",
"103/10/09","3,598,476","128,585,294","36.00","36.25","35.40","35.40","-0.40","1,910",
"103/10/13","6,711,525","227,807,478","34.70","34.70","33.15","33.35","-2.05","3,506",
"103/10/14","3,265,300","109,954,878","33.00","34.15","33.00","34.00","+0.65","1,863",
"103/10/15","5,239,400","174,874,000","34.20","34.25","33.10","33.25","-0.75","2,607",
"103/10/16","12,023,650","389,525,252","33.05","33.85","30.95","33.60","+0.35","5,379",
"103/10/17","5,575,230","185,499,255","33.55","33.75","32.85","33.00","-0.60","2,339",
"103/10/20","2,340,085","78,520,102","33.65","33.80","33.30","33.60","+0.60","1,180",
"103/10/21","1,614,049","54,169,994","33.50","33.75","33.25","33.45","-0.15","766",
"103/10/22","2,991,859","101,580,528","33.70","34.15","33.70","33.80","+0.35","1,718",
"103/10/23","2,083,078","69,842,069","33.75","33.75","33.30","33.35","-0.45","1,055",
"103/10/24","2,603,681","85,998,523","33.45","33.50","32.70","32.80","-0.55","1,407",
"103/10/27","6,280,774","196,725,318","32.50","32.70","30.65","30.80","-2.00","3,290",
"103/10/28","7,169,540","222,795,146","31.10","31.50","30.75","31.05","+0.25","2,651",
"103/10/29","4,419,709","139,116,198","30.90","32.15","30.90","31.95","+0.90","2,006",
"103/10/30","4,198,377","136,435,138","32.00","33.30","31.60","32.55","+0.60","1,975",
"103/10/31","5,071,305","168,189,036","33.00","33.55","32.50","33.35","+0.80","2,421",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

