"110年01月 2884 玉山金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/01/04","20,070,012","509,340,219","25.45","25.50","25.20","25.35","-0.20","6,559",
"110/01/05","16,559,816","418,177,979","25.30","25.35","25.15","25.30","-0.05","6,312",
"110/01/06","24,403,830","614,426,509","25.15","25.30","25.10","25.20","-0.10","10,519",
"110/01/07","21,383,819","538,809,633","25.20","25.25","25.15","25.20"," 0.00","6,806",
"110/01/08","32,716,367","826,713,139","25.15","25.50","25.10","25.50","+0.30","10,506",
"110/01/11","19,095,096","485,453,894","25.45","25.50","25.35","25.50"," 0.00","7,223",
"110/01/12","17,652,000","446,403,895","25.35","25.45","25.20","25.30","-0.20","6,313",
"110/01/13","19,992,522","506,238,490","25.30","25.45","25.20","25.30"," 0.00","5,672",
"110/01/14","23,007,257","580,195,019","25.30","25.40","25.10","25.20","-0.10","7,252",
"110/01/15","25,517,860","640,196,411","25.15","25.20","25.00","25.00","-0.20","11,927",
"110/01/18","28,940,742","720,509,563","25.00","25.00","24.80","24.90","-0.10","11,748",
"110/01/19","20,416,582","508,179,941","24.90","24.95","24.85","24.90"," 0.00","9,140",
"110/01/20","48,730,505","1,202,257,818","24.85","24.85","24.55","24.55","-0.35","25,129",
"110/01/21","32,511,887","798,218,679","24.55","24.70","24.50","24.50","-0.05","15,520",
"110/01/22","38,229,449","930,250,637","24.50","24.55","24.30","24.30","-0.20","18,496",
"110/01/25","31,340,611","758,910,608","24.20","24.30","24.10","24.25","-0.05","13,624",
"110/01/26","34,318,745","828,430,132","24.15","24.30","24.00","24.10","-0.15","15,751",
"110/01/27","28,467,331","690,305,873","24.20","24.50","24.15","24.20","+0.10","8,167",
"110/01/28","42,698,950","1,025,841,959","24.00","24.15","24.00","24.00","-0.20","19,378",
"110/01/29","69,232,314","1,648,526,423","24.00","24.00","23.60","23.60","-0.40","31,639",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

