"111年03月 2888 新光金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/03/01","242,953,744","2,641,084,066","10.95","11.00","10.70","10.95","-0.30","37,086",
"111/03/02","189,743,366","2,026,360,836","10.75","10.80","10.55","10.70","-0.25","27,633",
"111/03/03","91,527,839","987,780,949","10.75","10.85","10.75","10.80","+0.10","13,278",
"111/03/04","100,337,619","1,063,654,106","10.65","10.70","10.55","10.55","-0.25","19,129",
"111/03/07","209,962,189","2,106,748,824","10.20","10.25","9.98","10.00","-0.55","41,754",
"111/03/08","134,261,858","1,330,261,310","9.88","9.99","9.81","9.86","-0.14","28,549",
"111/03/09","100,939,397","998,251,489","9.86","9.95","9.86","9.87","+0.01","18,594",
"111/03/10","77,773,468","785,611,502","10.00","10.20","10.00","10.15","+0.28","12,043",
"111/03/11","54,562,281","546,751,574","10.00","10.15","9.99","10.05","-0.10","9,526",
"111/03/14","38,491,228","387,346,757","10.10","10.15","10.00","10.05"," 0.00","5,865",
"111/03/15","81,666,460","819,742,204","10.05","10.15","10.00","10.10","+0.05","8,718",
"111/03/16","59,178,056","601,381,248","10.15","10.25","10.10","10.20","+0.10","9,907",
"111/03/17","71,921,327","744,265,567","10.30","10.40","10.30","10.35","+0.15","10,801",
"111/03/18","139,242,939","1,462,954,126","10.40","10.60","10.35","10.60","+0.25","14,486",
"111/03/21","70,128,960","744,319,399","10.65","10.75","10.55","10.65","+0.05","10,911",
"111/03/22","33,282,200","351,769,383","10.60","10.65","10.50","10.60","-0.05","5,745",
"111/03/23","102,730,651","1,109,925,160","10.75","10.95","10.70","10.90","+0.30","17,762",
"111/03/24","42,535,069","459,598,767","10.80","10.85","10.75","10.85","-0.05","7,670",
"111/03/25","63,268,751","676,363,575","10.90","10.90","10.60","10.65","-0.20","10,419",
"111/03/28","47,973,190","507,724,133","10.60","10.70","10.45","10.70","+0.05","6,474",
"111/03/29","67,831,785","720,329,925","10.70","10.75","10.60","10.60","-0.10","8,125",
"111/03/30","54,532,000","586,862,786","10.70","10.80","10.65","10.75","+0.15","9,565",
"111/03/31","119,095,037","1,293,120,994","10.80","10.95","10.70","10.80","+0.05","14,199",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

