"109年10月 2891 中信金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/10/05","27,658,754","504,575,186","18.50","18.60","18.10","18.15","-0.25","10,350",
"109/10/06","18,660,287","342,519,311","18.25","18.45","18.25","18.45","+0.30","7,801",
"109/10/07","23,024,543","421,174,652","18.30","18.40","18.25","18.25","-0.20","8,556",
"109/10/08","12,367,136","226,228,029","18.35","18.35","18.20","18.35","+0.10","3,885",
"109/10/12","30,316,210","550,773,655","18.40","18.40","18.05","18.15","-0.20","11,162",
"109/10/13","36,139,127","651,915,364","18.10","18.15","17.95","18.05","-0.10","11,658",
"109/10/14","37,704,533","681,254,845","18.00","18.20","18.00","18.10","+0.05","6,994",
"109/10/15","35,321,603","635,320,645","18.00","18.10","17.95","17.95","-0.15","8,946",
"109/10/16","25,088,485","451,266,930","18.00","18.15","17.90","17.90","-0.05","7,899",
"109/10/19","19,191,392","345,890,381","18.00","18.10","18.00","18.00","+0.10","5,432",
"109/10/20","24,505,142","441,431,638","18.00","18.10","17.95","18.00"," 0.00","6,771",
"109/10/21","21,937,753","395,876,971","18.10","18.15","18.00","18.00"," 0.00","8,273",
"109/10/22","32,278,282","587,227,826","18.05","18.25","18.00","18.25","+0.25","6,542",
"109/10/23","13,979,161","254,509,486","18.20","18.25","18.15","18.25"," 0.00","3,657",
"109/10/26","14,846,344","271,677,567","18.25","18.35","18.20","18.35","+0.10","4,691",
"109/10/27","33,547,963","611,461,080","18.35","18.35","18.15","18.15","-0.20","5,829",
"109/10/28","23,632,005","427,616,213","18.15","18.20","18.05","18.15"," 0.00","7,564",
"109/10/29","25,876,658","465,812,943","18.05","18.05","17.95","17.95","-0.20","8,769",
"109/10/30","35,075,247","631,482,721","17.95","18.05","17.90","18.05","+0.10","6,727",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

